plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00000076,76,0.12611823959469284,0.0734468509465857,0.13584834125043443,0.01830359053663469,-4.548266588258949,-4.548266831836214,-4.548266335784538,1.2211499610493022e-07,64,64,18,40960,0.0
plt00000135,135,0.11865618293260746,0.06787905783619592,0.12837878149158552,0.01773202999054877,-4.047918262026483,-4.047918264308996,-4.047918259592033,1.2120797589387748e-09,64,64,18,40960,1.0
plt00000202,202,0.11046405344160344,0.06198593632810023,0.12011476286192528,0.01702781931132015,-3.5469093545393386,-3.5469093545835673,-3.546909354492312,2.249591785676562e-11,64,64,18,40960,1.0
plt00000278,278,0.10135718423996656,0.05569861897546899,0.1108405203870649,0.0161486237572536,-3.0451051607906217,-3.045105160795791,-3.045105160785337,3.66286718277443e-12,64,64,18,40960,1.0
plt00000367,367,0.09106982373092047,0.04891951503905773,0.10024125766722902,0.015031080488761603,-2.5423195195738897,-2.5423195195770365,-2.5423195195707327,2.954150926266667e-12,64,64,18,40960,1.0
plt00000474,474,0.07920399772421213,0.04150518944566591,0.08783683686384837,0.013576216081234493,-2.0382854147374085,-2.0382854147398732,-2.03828541473494,2.3637161523438374e-12,64,64,18,40960,1.0
plt00000607,607,0.06513957462102946,0.03323645568699602,0.07286371815287103,0.01162278080437076,-1.532605273625506,-1.5326052736277451,-1.5326052736232567,1.7973381339281839e-12,64,64,18,40960,1.0
plt00000780,780,0.04790202936316577,0.023776037435901332,0.054094413426161614,0.008905033686028302,-1.0246840409850655,-1.0246840410448017,-1.02468404092462,3.859401780413294e-11,64,64,18,40960,1.0
plt00120514,120514,0.012403023225313874,-0.1659609331494156,0.16835884224898395,0.1053481558316121,-0.5029142509470108,-0.5342952369536182,-0.4694783162411764,0.02395578497500169,64,64,18,40960,1.0
plt00268233,268233,2.3592239273284576e-17,-0.1665536247169821,0.16655362471698223,0.10604159691264853,-2.242130092700023e-16,-0.032070401216119045,0.03207040121611857,0.02404277763662282,64,64,18,40960,1.0
plt00268444,268444,-0.01239804390910411,-0.16755044855347195,0.1643551749461868,0.10534768262524269,0.5029069198612504,0.4699468545849907,0.5339138504050472,0.023955817892864644,64,64,18,40960,1.0
plt00268653,268653,-0.024867527845163214,-0.16772787792242855,0.16048794615349388,0.10319915368830644,1.0058700176803186,0.9722062626070789,1.0356386290155513,0.023691527541416187,64,64,18,40960,1.0
plt00268870,268870,-0.037549918063452904,-0.16738721845275195,0.15408083703956055,0.09931573980823752,1.508980188613993,1.4748408698875708,1.5373172989531827,0.023229792525401593,64,64,18,40960,1.0
plt00269130,269130,-0.05088061522783534,-0.16591316890266605,0.14313333885918061,0.09282852591503497,2.012542854617811,1.9782697365787323,2.039151024591355,0.02248733410625037,64,64,18,40960,1.0
plt00269652,269652,-0.06685451987830955,-0.1610426120749039,0.11847050699267143,0.07952617483925294,2.5180748532140353,2.484671744512004,2.5419876834476205,0.020948374973567236,64,64,18,40960,1.0
plt00270034,270034,-0.10135706843424161,-0.11084400610507493,-0.05569781665575661,0.01614860244581245,3.0451050692390567,3.0451037687998985,3.04510636946562,9.370306199858423e-07,64,64,18,40960,1.0
plt00270102,270102,-0.11046384519649396,-0.12011461283751333,-0.061985810203611075,0.017027782886747892,3.5469091875495136,3.546909155806169,3.5469092192925817,2.287150490049566e-08,64,64,18,40960,1.0
plt00270162,270162,-0.11865597102248855,-0.12837853837120664,-0.06787894467627342,0.01773199513072195,4.047918090241481,4.0479180898250675,4.047918090657893,2.9671156383137897e-10,64,64,18,40960,1.0
plt00270216,270216,-0.12611819482393938,-0.13584768982822695,-0.07344696981524335,0.018303583624341258,4.5482665516701335,4.548266551661681,4.548266551678586,5.770232898349751e-12,64,64,18,40960,1.0
plt00270275,270275,-0.11865618293197602,-0.1283787756932825,-0.06787905921233162,0.017732029990444712,4.04791826202597,4.047918262021222,4.04791826203072,4.713942743197193e-12,64,64,18,40960,-1.0
plt00270342,270342,-0.11046405344160237,-0.1201147627574247,-0.06198593635224059,0.01702781931131984,3.5469093545393378,3.546909354535208,3.546909354543467,4.128687010141219e-12,64,64,18,40960,-1.0
plt00270418,270418,-0.1013571842399684,-0.1108405203826963,-0.055698618976447616,0.01614862375725382,3.0451051607906274,3.0451051607870867,3.0451051607941677,3.540501232492453e-12,64,64,18,40960,-1.0
plt00270507,270507,-0.09106982373092014,-0.10024125766668901,-0.048919515039172946,0.015031080488761407,2.542319519573888,2.542319519570935,2.54231951957684,2.9525201811355283e-12,64,64,18,40960,-1.0
plt00270614,270614,-0.07920399772421224,-0.08783683686355104,-0.041505189445726294,0.013576216081234552,2.0382854147374023,2.0382854147350393,2.038285414739766,2.363203399869968e-12,64,64,18,40960,-1.0
plt00270747,270747,-0.06513957462103048,-0.07286371815141456,-0.03323645568727449,0.011622780804371022,1.532605273625509,1.5326052736237348,1.5326052736272828,1.7726603221983548e-12,64,64,18,40960,-1.0
plt00270920,270920,-0.047902029363165295,-0.05409441322802899,-0.023776037471716492,0.008905033686028168,1.0246840409850657,1.0246840409837172,1.0246840409864162,1.18554178130034e-12,64,64,18,40960,-1.0
plt00271153,271153,-0.026201020848946144,-0.029855897351449535,-0.012689968812210666,0.005049901463645075,0.5137827093427795,0.5137827070785689,0.5137827116156781,1.2666253608105524e-09,64,64,18,40960,-1.0
plt00328603,328603,6.938893903907229e-19,-0.16655362545972882,0.1665536254597287,0.10604159691255541,2.2985086056692694e-17,-0.032070401481852556,0.03207040148185259,0.024042777636585643,64,64,18,40960,-1.0
plt00328814,328814,0.012398043909198594,-0.1643551759703974,0.16755044907824573,0.10534768262525206,-0.50290691986139,-0.5339138506429493,-0.4699468542861647,0.023955817892864023,64,64,18,40960,-1.0
