plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00127183,127183,2.7755575615628915e-18,-0.166553625276099,0.16655362527609882,0.10604159691257822,-1.695692197767329e-16,-0.032070401416144714,0.032070401416144395,0.024042777636594768,64,64,18,40960,0.0
plt00127394,127394,0.012398043909175269,-0.16435517571717753,0.16755044894850385,0.10534768262524974,-0.5029069198613555,-0.5339138505841318,-0.46994685436004424,0.02395581789286418,64,64,18,40960,-1.0
plt00127603,127603,0.02486752784511807,-0.16048794720118148,0.16772787821895394,0.1031991536883825,-1.0058700176802624,-1.0356386291768478,-0.97220626235144,0.023691527541447766,64,64,18,40960,-1.0
plt00127820,127820,0.03754991806341622,-0.1540808384286163,0.1673872186518298,0.09931573980820504,-1.508980188613927,-1.537317299096011,-1.4748408695985624,0.02322979252539785,64,64,18,40960,-1.0
plt00128080,128080,0.05088061522790457,-0.14313334068898323,0.16591316902796013,0.09282852591495622,-2.0125428546178963,-2.0391510247164035,-1.9782697362468513,0.022487334106216415,64,64,18,40960,-1.0
plt00128602,128602,0.06685451987825904,-0.11847050944194579,0.16104261214553894,0.07952617483937054,-2.518074853213988,-2.541987683552347,-2.484671744116863,0.020948374973596688,64,64,18,40960,-1.0
plt00128984,128984,0.10135706843424122,0.055697816655749695,0.11084400610510671,0.016148602445812333,-3.04510506923905,-3.0451063694656257,-3.0451037687998794,9.370306200585125e-07,64,64,18,40960,-1.0
plt00129052,129052,0.11046384519649428,0.06198581020361111,0.12011461283751448,0.017027782886747927,-3.546909187549506,-3.546909219292574,-3.5469091558061603,2.2871504898672958e-08,64,64,18,40960,-1.0
plt00129112,129112,0.11865597102248607,0.06787894467627187,0.1283785383712038,0.017731995130721642,-4.047918090241479,-4.047918090657892,-4.047918089825066,2.967116755846964e-10,64,64,18,40960,-1.0
plt00129166,129166,0.12611819482393802,0.07344696981524242,0.1358476898282252,0.01830358362434115,-4.548266551670132,-4.5482665516785845,-4.54826655166168,5.770041299508708e-12,64,64,18,40960,-1.0
plt00129225,129225,0.1186561829319761,0.06787905921233181,0.12837877569328243,0.017732029990444674,-4.0479182620259735,-4.047918262030723,-4.047918262021225,4.714004040573924e-12,64,64,18,40960,1.0
plt00129292,129292,0.11046405344160118,0.061985936352239965,0.12011476275742779,0.017027819311320445,-3.546909354539343,-3.5469093545434704,-3.546909354535216,4.126567180272153e-12,64,64,18,40960,1.0
