plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00127183,127183,2.7755575615628915e-18,-0.166553625276099,0.16655362527609882,0.10604159691257822,-1.695692197767329e-16,-0.032070401416144714,0.032070401416144395,0.024042777636594768,64,64,18,40960,0.0
plt00127394,127394,0.012398043909175269,-0.16435517571717753,0.16755044894850385,0.10534768262524974,-0.5029069198613555,-0.5339138505841318,-0.46994685436004424,0.02395581789286418,64,64,18,40960,-1.0
plt00127603,127603,0.02486752784511807,-0.16048794720118148,0.16772787821895394,0.1031991536883825,-1.0058700176802624,-1.0356386291768478,-0.97220626235144,0.023691527541447766,64,64,18,40960,-1.0
plt00127820,127820,0.03754991806341622,-0.1540808384286163,0.1673872186518298,0.09931573980820504,-1.508980188613927,-1.537317299096011,-1.4748408695985624,0.02322979252539785,64,64,18,40960,-1.0
plt00128080,128080,0.05088061522790457,-0.14313334068898323,0.16591316902796013,0.09282852591495622,-2.0125428546178963,-2.0391510247164035,-1.9782697362468513,0.022487334106216415,64,64,18,40960,-1.0
plt00128602,128602,0.06685451987825904,-0.11847050944194579,0.16104261214553894,0.07952617483937054,-2.518074853213988,-2.541987683552347,-2.484671744116863,0.020948374973596688,64,64,18,40960,-1.0
plt00128984,128984,0.10135706843424122,0.055697816655749695,0.11084400610510671,0.016148602445812333,-3.04510506923905,-3.0451063694656257,-3.0451037687998794,9.370306200585125e-07,64,64,18,40960,-1.0
plt00129052,129052,0.11046384519649428,0.06198581020361111,0.12011461283751448,0.017027782886747927,-3.546909187549506,-3.546909219292574,-3.5469091558061603,2.2871504898672958e-08,64,64,18,40960,-1.0
plt00129128,129128,0.10135718423734627,0.055698618158229414,0.11084052434864429,0.016148623756767354,-3.045105160788544,-3.0451051622183813,-3.0451051593587066,1.0278090236512298e-09,64,64,18,40960,1.0
plt00129217,129217,0.091069823730919,0.04891951493444792,0.10024125819318266,0.015031080488761884,-2.5423195195738897,-2.5423195197595145,-2.542319519388265,1.3166957622118366e-10,64,64,18,40960,1.0
plt00129324,129324,0.07920399772421158,0.041505189386715165,0.08783683717122959,0.013576216081234478,-2.03828541473741,-2.038285414841695,-2.0382854146331253,7.348389248405597e-11,64,64,18,40960,1.0
plt00129457,129457,0.06513957462102969,0.033236455395511635,0.07286371973245627,0.011622780804370937,-1.532605273625508,-1.5326052741209193,-1.5326052731300968,3.5572486280402826e-10,64,64,18,40960,1.0
