plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00032222,32222,0.1177544496716418,-0.7329033720202107,0.7730826727524612,0.4498311750365685,-4.507379170924203,-4.619273838077204,-4.37950189787591,0.08836301492738238,64,64,59,45056,0.0
plt00032541,32541,0.1020994146821161,-0.739482262077943,0.7731270660378864,0.4537629077063435,-4.004198697949648,-4.117279127026609,-3.8772430304785765,0.08858125993318493,64,64,59,45056,1.0
plt00033056,33056,0.08664755319262639,-0.7451462472200355,0.7728594119612131,0.457029997151184,-3.50112349626202,-3.61536360071929,-3.3751033617226898,0.08876375239051618,64,64,59,45056,1.0
plt00034177,34177,0.07138274062053217,-0.750033638957376,0.7722916778848768,0.45968475052134417,-2.9981348092937785,-3.113518497227325,-2.8730496003012678,0.08891404750050463,64,64,59,45056,1.0
plt00035423,35423,0.05630195171991795,-0.7542382033176377,0.7714353098287365,0.4617683746677144,-2.4952186123909703,-2.6117193388380278,-2.37107166280468,0.0890349703282078,64,64,59,45056,1.0
plt00036710,36710,0.04144119665653418,-0.7578332439671148,0.7702932516761929,0.4633060117581953,-1.992371306374323,-2.1099591323109177,-1.8691603115847883,0.089129500731888,64,64,59,45056,1.0
plt00037942,37942,0.02697926676034892,-0.7608431467825401,0.7688693227770391,0.46429204416145936,-1.4896181561023827,-1.6082565275872,-1.3673211822783782,0.08920416766109521,64,64,59,45056,1.0
plt00038954,38954,0.013644298665943955,-0.763173217791227,0.767213309429932,0.4646618094087168,-0.9870892554224202,-1.1067160564300391,-0.8656117337871702,0.08927715231349882,64,64,59,45056,1.0
plt00039499,39499,0.0032760903708619715,-0.7646719383912701,0.7656413718233919,0.4645192561275375,-0.4851254369815743,-0.6055558569868535,-0.3642507049381754,0.08935100190931919,64,64,59,45056,1.0
plt00039758,39758,-7.234439272029511e-05,-0.7651417752438565,0.7651202816110032,0.4644684718281027,0.01550918093465962,-0.10516677871580267,0.13617533838227858,0.08936358133153638,64,64,59,45056,1.0
plt00040021,40021,-0.0038503600114590075,-0.7657379391525247,0.7645977693040873,0.46454084707916093,0.5162250664258363,0.3953175315453953,0.6366103112183943,0.0893457893812908,64,64,59,45056,1.0
plt00040326,40326,-0.014790369365934718,-0.7673885340218541,0.7630073498151977,0.46468331775367455,1.0182968327470225,0.8967547158056266,1.1378327903236187,0.08926441445951111,64,64,59,45056,1.0
plt00041134,41134,-0.028450049168392364,-0.7690637788401044,0.7605949386376647,0.46427733870157534,1.5208874711459264,1.398507825089531,1.6394092530545117,0.08918535900115185,64,64,59,45056,1.0
plt00042273,42273,-0.04323314031778202,-0.7704867847772485,0.7574714455736025,0.46321999367306677,2.023702738635688,1.9003904514012504,2.141148934259712,0.08910551856408391,64,64,59,45056,1.0
plt00043470,43470,-0.05841651465307569,-0.7716131332880957,0.7537313369689849,0.4615818878441437,2.5266142656616837,2.402346398165522,2.642948996236463,0.08900552475746075,64,64,59,45056,1.0
plt00044619,44619,-0.07381642582659284,-0.7724407473801429,0.7493488275181798,0.45937148489551444,3.029596535025538,2.9043711199465356,3.144790288821312,0.0888781561146385,64,64,59,45056,1.0
plt00045620,45620,-0.08939633301161569,-0.7729670547124213,0.7442459064486483,0.456563499320234,3.532653916144918,3.4064753507795715,3.646680499926236,0.08872003985136728,64,64,59,45056,1.0
plt00046339,46339,-0.1051620353304623,-0.7731826454680653,0.7383120784021877,0.45311449228487327,4.035801817016078,3.908678795004264,4.148636736788571,0.08852809994437869,64,64,59,45056,1.0
plt00046710,46710,-0.12113759096965077,-0.7730700898109416,0.7313995809081011,0.4489647608220762,4.539063273608608,4.411011841537439,4.6506796193869695,0.08829836147968106,64,64,59,45056,1.0
plt00047035,47035,-0.10516284853922224,-0.7731833928626205,0.7383063570406401,0.4531139227106401,4.03580235750299,3.9086841568295023,4.14863175244916,0.0885281254660884,64,64,59,45056,-1.0
plt00047441,47441,-0.08939643643462233,-0.7729698019194392,0.7442350752753089,0.45656355936850446,3.5326540367775756,3.4064871337790024,3.6466675885886177,0.08872008936454828,64,64,59,45056,-1.0
plt00048539,48539,-0.07381648572076721,-0.7724426463365192,0.7493408570131999,0.45937152447761376,3.029596637790517,2.9043816928774002,3.144778696241922,0.0888781750390797,64,64,59,45056,-1.0
plt00049788,49788,-0.058416571655333045,-0.7716142136304334,0.7537257064845706,0.46158187736558826,2.5266143639446375,2.4023557133539373,2.6429388906131415,0.08900551648854337,64,64,59,45056,-1.0
plt00051091,51091,-0.04323318518280983,-0.7704871748556653,0.7574676208324505,0.4632199476868956,2.023702816629882,1.9003985739609686,2.1411402516543316,0.0891054912420368,64,64,59,45056,-1.0
plt00052349,52349,-0.028450076937416746,-0.7690636234866017,0.760592509900137,0.4642772750405843,1.5208875207212502,1.3985147643737044,1.6394019405643434,0.08918532237949678,64,64,59,45056,-1.0
plt00053400,53400,-0.01479064294770266,-0.7673879722848922,0.763006555211374,0.4646832570362691,1.018297046547143,0.8967588937386672,1.1378288233963432,0.08926438776047589,64,64,59,45056,-1.0
plt00054000,54000,-0.0038505032073003916,-0.7657376365763612,0.7645977166656136,0.46454084093661996,0.5162251902767068,0.39531882450865014,0.6366092218249352,0.08934578069180137,64,64,59,45056,-1.0
