plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00005643,5643,0.037507711178050816,0.031477145962346804,0.04083822495038382,0.00210663473394064,-4.456867149384472,-4.4568671493847605,-4.456867149384085,1.305457054745403e-13,64,64,59,45056,0.0
plt00005660,5660,0.03602068520540058,0.02964201467420087,0.039041084854431515,0.002168445513073004,-3.9635178565232727,-3.963517856523332,-3.963517856523196,2.7771391787404804e-14,64,64,59,45056,1.0
plt00005679,5679,0.03440082975480639,0.027640994269809708,0.0370775430813503,0.002246884367233866,-3.4699703433158637,-3.46997034331589,-3.469970343315832,1.4001470616015822e-14,64,64,59,45056,1.0
plt00005701,5701,0.03261361851812988,0.025434630726516007,0.034903204872310856,0.0023450699916139207,-2.9761739702160503,-2.9761739702161245,-2.9761739702159877,2.4022863578013248e-14,64,64,59,45056,1.0
plt00005726,5726,0.030607193643690526,0.02296655559600864,0.03245092520950404,0.002466744260505996,-2.4820534047465754,-2.482053404746587,-2.482053404746565,5.176842702085632e-15,64,64,59,45056,1.0
plt00005757,5757,0.0282972736218985,0.02015143991338613,0.02961071284848195,0.002616173548906135,-1.9874876254265663,-1.987487625426585,-1.987487625426542,9.538917412818074e-15,64,64,59,45056,1.0
plt00005797,5797,0.025530109750074696,0.01684900701469468,0.02669493779801025,0.0027971439801701132,-1.492257349201366,-1.4922573492013804,-1.4922573492013522,6.176847300224354e-15,64,64,59,45056,1.0
plt00005855,5855,0.0219667023205795,0.01279515400572604,0.023431262946647612,0.0030075978028404485,-0.9958749533270614,-0.9958749533270788,-0.9958749533270421,7.415687820630653e-15,64,64,59,45056,1.0
plt00005975,5975,0.016513389605353937,0.007334852835622772,0.01850970787745226,0.0032049510035279563,-0.49670696101152556,-0.49670696101152767,-0.4967069610115236,8.849470400179097e-16,64,64,59,45056,1.0
plt00006200,6200,0.01198946521466665,0.003773791755371632,0.014528453288775164,0.003205105767387336,0.005972445589917594,0.005972445589894044,0.005972445589940896,1.0407204822731713e-14,64,64,59,45056,1.0
plt00006555,6555,-0.016990127282356486,-0.01893548328383351,-0.007765725951921161,0.003195742389018378,0.5278229229098789,0.5278229200850487,0.5278229257108975,1.2520236876303996e-09,64,64,59,45056,1.0
plt00006616,6616,-0.022310761956876674,-0.023744986224259024,-0.013173348246530084,0.002989314591714176,1.0266314936421614,1.026631493641551,1.026631493642757,2.6864124103811766e-13,64,64,59,45056,1.0
plt00006657,6657,-0.025830367407349227,-0.026971314471489972,-0.01720221808181407,0.0027778561966254594,1.5228175494486487,1.5228175494485965,1.5228175494486864,2.112299601354336e-14,64,64,59,45056,1.0
plt00006689,6689,-0.02857770289225353,-0.029956603592454268,-0.02049101042526335,0.0025977456732242496,2.01789175629028,2.0178917562902243,2.017891756290376,3.184279505823872e-14,64,64,59,45056,1.0
plt00006715,6715,-0.030876509686275352,-0.03278085371275989,-0.023296927547156843,0.0024498554546432206,2.512319487948903,2.512319487948893,2.5123194879489126,3.867099795994152e-15,64,64,59,45056,1.0
plt00006737,6737,-0.03287553993639465,-0.035222432007962656,-0.025757688080066,0.0023300076096593736,3.0063140026285344,3.006314002628497,3.0063140026285695,1.7886826544960922e-14,64,64,59,45056,1.0
plt00006756,6756,-0.034657369689234226,-0.037388958930710335,-0.027957920099284692,0.0022337477677481232,3.499993003579175,3.4999930035790223,3.4999930035793003,5.3926190649777926e-14,64,64,59,45056,1.0
plt00006773,6773,-0.03627314545399809,-0.03934655047672136,-0.029953756054254294,0.002157234632596151,3.9934295978672965,3.993429597867281,3.9934295978673213,9.137951598296443e-15,64,64,59,45056,1.0
plt00006788,6788,-0.03775700491696126,-0.04113903543388222,-0.03178448815890292,0.002097298015146499,4.486672941683128,4.486672941683114,4.486672941683143,5.473973734569282e-15,64,64,59,45056,1.0
plt00006804,6804,-0.03627315626271632,-0.0393465531993314,-0.029953771453786,0.002157232163377117,3.9934296030240453,3.9934296030239507,3.9934296030241176,3.747611225392951e-14,64,64,59,45056,-1.0
plt00006822,6822,-0.034657384295828465,-0.03738896279106675,-0.027957941816415133,0.0022337443087172594,3.499993010829538,3.4999930108294817,3.499993010829598,2.9261485897123265e-14,64,64,59,45056,-1.0
plt00006843,6843,-0.03287555530105424,-0.03522243631074866,-0.025757711811135616,0.002330003846758317,3.0063140105031776,3.00631401050309,3.0063140105032753,4.1116117069398105e-14,64,64,59,45056,-1.0
plt00006868,6868,-0.030876526430772485,-0.0327808588739016,-0.023296953989855474,0.0024498513317395025,2.5123194968757305,2.5123194968757065,2.512319496875755,1.2662141051589522e-14,64,64,59,45056,-1.0
plt00006898,6898,-0.02857772432024436,-0.029956611409811217,-0.020491043874399553,0.002597740729500509,2.017891768513448,2.01789176851344,2.017891768513458,4.449903517629546e-15,64,64,59,45056,-1.0
plt00006937,6937,-0.025830395086298075,-0.02697133703045515,-0.017202258617964032,0.002777850894148764,1.5228175670693591,1.522817567069332,1.5228175670693864,1.0003488349891016e-14,64,64,59,45056,-1.0
