plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00011227,11227,0.03769988357208853,0.03163748659200832,0.041017806198344074,0.0021137191475512963,-4.457030291489314,-4.457030291489409,-4.4570302914892395,3.3283553055699117e-14,64,64,59,45056,0.0
plt00011243,11243,0.03621764750674186,0.029804996796818577,0.039224713122952524,0.0021766233008179868,-3.9636842368498275,-3.9636842368498497,-3.9636842368498084,1.1154703060102475e-14,64,64,59,45056,1.0
plt00011262,11262,0.034603799912812955,0.02780721363114983,0.037266422322883255,0.002256387173637808,-3.47014095416532,-3.470140954165525,-3.470140954165113,1.3625995411423545e-13,64,64,59,45056,1.0
plt00011283,11283,0.032824364945853245,0.025604913307363284,0.035099093861247196,0.0023562268416142105,-2.9763502559719344,-2.9763502559719606,-2.9763502559719077,1.6266282902977436e-14,64,64,59,45056,1.0
plt00011308,11308,0.030828399072012968,0.023142037053940176,0.032656551206419186,0.0024800710330987745,-2.482237582516964,-2.482237582516988,-2.482237582516935,1.1427749457745812e-14,64,64,59,45056,1.0
plt00011339,11339,0.028533453558218267,0.02033390403859461,0.02983073317370586,0.002632542598065996,-1.987683477003283,-1.9876834770033736,-1.9876834770031786,4.621832582685613e-14,64,64,59,45056,1.0
plt00011378,11378,0.025789970935342674,0.017041670100446386,0.026964364365357704,0.002818233438306131,-1.4924723867980159,-1.4924723867980425,-1.4924723867979957,7.280801203253117e-15,64,64,59,45056,1.0
plt00011435,11435,0.022271788538944525,0.013005871346820038,0.023747617552414838,0.0030373277780699572,-0.9961288022915622,-0.9961288022915682,-0.9961288022915548,3.03609714927342e-15,64,64,59,45056,1.0
plt00011550,11550,0.016955731866735865,0.007597917125406042,0.018963923751149116,0.003257689189464834,-0.497094477394921,-0.49709447739492724,-0.4970944773949141,2.572524144668699e-15,64,64,59,45056,1.0
plt00011758,11758,0.012537479535376227,0.004012926882220224,0.015102982043714342,0.0032971142188198362,0.005424983058350285,0.005424983058342142,0.005424983058359726,4.444093450446851e-15,64,64,59,45056,1.0
plt00012190,12190,-0.01741738544185306,-0.019374734059114516,-0.00802446878308347,0.0032456794344525404,0.5281928061219707,0.5281926732652553,0.5281929318194808,7.429305819781146e-08,64,64,59,45056,1.0
