plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00006790,6790,0.0723255121695304,0.05414915012553364,0.07571056776086132,0.005826686526410997,-4.486930110355335,-4.486930110355397,-4.486930110355278,2.4516328844673923e-14,64,64,59,45056,0.0
plt00006815,6815,0.07019260356834706,0.05141917926449238,0.07304323932206717,0.006009810527877627,-3.9926343078081983,-3.992634307808322,-3.9926343078080304,6.726579641025624e-14,64,64,59,45056,1.0
plt00006842,6842,0.06791190690894822,0.04850210353576836,0.07026652738706897,0.0062136166893143885,-3.4981091941289346,-3.498109194128992,-3.4981091941288724,2.2428085185920906e-14,64,64,59,45056,1.0
plt00006872,6872,0.065454018828093,0.04536516270304432,0.06802614328401374,0.006441114418184707,-3.0033086696463007,-3.0033086696463123,-3.0033086696462914,5.6334930545435684e-15,64,64,59,45056,1.0
plt00006906,6906,0.06277853349342746,0.04196524335680481,0.06559937852027012,0.006696078572562721,-2.508169344036076,-2.5081693440363115,-2.5081693440358857,8.104565344315676e-14,64,64,59,45056,1.0
plt00006944,6944,0.0598272970572558,0.03824352167357397,0.06293857161333859,0.00698337503978301,-2.0125998579877447,-2.012599857987747,-2.0125998579877433,9.171947447016606e-16,64,64,59,45056,1.0
plt00006989,6989,0.05651110894617375,0.03411534418685808,0.059971607072279956,0.007309623458006324,-1.5164596540303679,-1.516459654030471,-1.5164596540302686,6.087105909049813e-14,64,64,59,45056,1.0
plt00007043,7043,0.0526808158495587,0.029449709435659884,0.05658019321219509,0.007684685944060544,-1.0195107848573528,-1.0195107848573561,-1.01951078485735,1.7906111167464224e-15,64,64,59,45056,1.0
plt00007114,7114,0.0480565141129023,0.024023849687284677,0.052550686707779924,0.008125998488377131,-0.5212864744376431,-0.5212864744376486,-0.5212864744376382,3.503227566775927e-15,64,64,59,45056,1.0
plt00007222,7222,0.042048807551863306,0.017441933352316606,0.04746714303749352,0.008674160634327967,-0.02065607996090362,-0.02065607996090399,-0.020656079960903163,1.8217642334912607e-16,64,64,59,45056,1.0
plt00007342,7342,0.037662501803049524,0.013057789073341134,0.043920241412749444,0.009071159663582204,0.48178986136738444,0.48178986136738194,0.4817898613673876,1.2761718180646586e-15,64,64,59,45056,1.0
plt00007470,7470,0.03556961833525608,0.011108601037488,0.04229958101471282,0.009270503839258837,0.9835264028156498,0.9835264028156452,0.9835264028156547,2.0359712717287165e-15,64,64,59,45056,1.0
plt00007824,7824,0.030784639506049795,0.00702813367324592,0.038847983622894496,0.009798016007198892,1.4888634278513333,1.488863427808123,1.4888634278842683,1.9505699047134565e-11,64,64,59,45056,1.0
plt00007923,7923,-0.06023685663558629,-0.06330675484378548,-0.0387576834991177,0.006943257236536253,2.043032914186539,2.043032914186473,2.0430329141866044,2.7766453669589392e-14,64,64,59,45056,1.0
plt00007957,7957,-0.06318455745043257,-0.0659668156218213,-0.0424798535746748,0.006656995284281073,2.5384750937519485,2.5384750937518925,2.5384750937520026,2.6301099096905245e-14,64,64,59,45056,1.0
plt00007987,7987,-0.06585742046015007,-0.06839316267052215,-0.045879273178152345,0.00640329666425627,3.033495113029037,3.0334951130290198,3.0334951130290597,7.882974388745709e-15,64,64,59,45056,1.0
plt00008014,8014,-0.06831334114611454,-0.07068346463149351,-0.04901520512568888,0.0061772088456418526,3.5281824142163165,3.5281824142162015,3.5281824142164275,6.133834012072653e-14,64,64,59,45056,1.0
plt00008039,8039,-0.07059256004737834,-0.0735442922399545,-0.051931020973255713,0.0059748998423392345,4.022599109834141,4.0225991098341245,4.022599109834158,1.1634586411010406e-14,64,64,59,45056,1.0
plt00008062,8062,-0.07272437057134251,-0.07620813807851144,-0.05465965064770253,0.005793317367913965,4.516790441133209,4.516790441133191,4.516790441133232,8.83307839357354e-15,64,64,59,45056,1.0
plt00008087,8087,-0.07059258224467921,-0.07354429511409223,-0.05193107379303948,0.005974888542319419,4.022599122793498,4.022599122793362,4.022599122793631,5.2236789689940976e-14,64,64,59,45056,-1.0
plt00008114,8114,-0.06831336864799789,-0.0706834684407746,-0.0490152716879531,0.006177194530770454,3.528182430478253,3.528182430478049,3.528182430478411,6.831307463926654e-14,64,64,59,45056,-1.0
plt00008144,8144,-0.06585744764720336,-0.06839317845948018,-0.045879340403,0.006403282049778176,3.033495129014608,3.0334951290145926,3.0334951290146233,6.7440908628701735e-15,64,64,59,45056,-1.0
plt00008177,8177,-0.0631845873183542,-0.06596683182392471,-0.042479927503831984,0.006656979206550153,2.538475111623656,2.5384751116236153,2.5384751116237023,1.7410778565897875e-14,64,64,59,45056,-1.0
plt00008215,8215,-0.060236887801363694,-0.06330677331850659,-0.03875775290689911,0.006943243226014298,2.043032934734486,2.043032934734431,2.0430329347345517,2.4488346573417056e-14,64,64,59,45056,-1.0
plt00008259,8259,-0.0569258669282859,-0.06034123876729784,-0.034627777266949517,0.007268782608202592,1.5470309438397964,1.5470309438397907,1.5470309438398016,2.584698394608246e-15,64,64,59,45056,-1.0
plt00008312,8312,-0.05310495712215337,-0.05695362484016075,-0.029959707388258715,0.007643455926493259,1.0502359588778274,1.0502359588778147,1.050235958877838,4.516233882676868e-15,64,64,59,45056,-1.0
plt00008382,8382,-0.04850166213568463,-0.0529348457369917,-0.024534223769117687,0.008084269217397006,0.5521942573785696,0.5521942573785671,0.5521942573785724,1.2528499130684398e-15,64,64,59,45056,-1.0
plt00008487,8487,-0.042526577541489516,-0.04786327810589951,-0.017942428856680532,0.008631308759429395,0.051814101372922444,0.051814101372921764,0.051814101372922895,2.334895267909896e-16,64,64,59,45056,-1.0
plt00008607,8607,-0.037782097596661644,-0.044014449933830024,-0.013172051427526385,0.009060072827433291,-0.450710647994919,-0.4507106479949208,-0.4507106479949172,8.594990275842865e-16,64,64,59,45056,-1.0
plt00008734,8734,-0.03571022808881414,-0.042406689732537695,-0.011236528062078591,0.009256724988576595,-0.9524073616308737,-0.9524073616309628,-0.9524073616307916,3.896337402950835e-14,64,64,59,45056,-1.0
plt00008992,8992,-0.03196198737336021,-0.03965774607491244,-0.007981377892325494,0.009654696591949037,-1.4563810643708748,-1.4563810643716986,-1.4563810643699486,4.1938526057807663e-13,64,64,59,45056,-1.0
plt00009096,9096,0.05982725886928692,0.03824343728369979,0.06293854896710753,0.0069833919863281566,-2.0125998323796614,-2.01259983237976,-2.012599832379549,5.282168255124751e-14,64,64,59,45056,-1.0
