plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00009584,9584,0.05448124308037145,0.04474164899787175,0.05714598706153082,0.0031403431978218824,-4.471470382690897,-4.471470382691049,-4.471470382690708,7.628993465040067e-14,64,64,59,45056,0.0
plt00009599,9599,0.05317080134388814,0.042718640861138454,0.055546411969023074,0.0033491137436674184,-3.9782041909182198,-3.9782041909183725,-3.9782041909181305,4.846870588118202e-14,64,64,59,45056,1.0
plt00009616,9616,0.0517455654526054,0.04049292172539226,0.053792031694409076,0.003591418893231685,-3.4847338925958353,-3.484733892595937,-3.484733892595749,4.943295289531684e-14,64,64,59,45056,1.0
plt00009635,9635,0.05018071421649727,0.0380246286242528,0.05184593116686767,0.0038733946611313333,-2.991013512786472,-2.9910135127866453,-2.991013512786302,8.561270174754349e-14,64,64,59,45056,1.0
plt00009657,9657,0.048441824694247654,0.03526265514934252,0.05002103622602843,0.004202493140130944,-2.4969791560434764,-2.4969791560434933,-2.4969791560434595,6.091574297708085e-15,64,64,59,45056,1.0
plt00009682,9682,0.046478690965131755,0.03214032364733093,0.04832072527261908,0.0045876554533912815,-2.002537512010078,-2.0025375120101025,-2.0025375120100546,1.1935930235644314e-14,64,64,59,45056,1.0
plt00009712,9712,0.0442128601819443,0.028567503146993398,0.046383502726529,0.005039670787162472,-1.507541978711965,-1.5075419787119682,-1.5075419787119622,1.2606654552689016e-15,64,64,59,45056,1.0
plt00009749,9749,0.04150940282505315,0.024414561772406022,0.04411000579249041,0.005572272633420482,-1.0117342778985114,-1.0117342778985225,-1.011734277898497,5.486414520141272e-15,64,64,59,45056,1.0
plt00009800,9800,0.03810445145581789,0.019474457618247797,0.041315734543016486,0.006207727645460805,-0.5145725319891885,-0.5145725319891905,-0.5145725319891864,8.84484450632172e-16,64,64,59,45056,1.0
plt00009887,9887,0.03351026073117958,0.013519142281795316,0.03771742453598413,0.006989560173495618,-0.014660868863116294,-0.014660868863116324,-0.014660868863116256,1.44178507760142e-17,64,64,59,45056,1.0
plt00009982,9982,0.03127279793352967,0.010951363701177753,0.036070326341909126,0.007355293920584994,0.4866528909817495,0.48665289098174447,0.48665289098175496,2.0987831408473975e-15,64,64,59,45056,1.0
plt00010095,10095,0.029495330031299526,0.009068131123761975,0.03483018266722077,0.00765258975742069,0.988255508765918,0.9882555087659076,0.98825550876593,5.59502081399744e-15,64,64,59,45056,1.0
plt00010276,10276,-0.04448188748978448,-0.04661207908174489,-0.02898835104658009,0.004986030841410939,1.5380131746423142,1.5380131746422947,1.5380131746423475,9.849436654688345e-15,64,64,59,45056,1.0
plt00010302,10302,-0.04673803101779483,-0.048544223549550555,-0.03255201719068522,0.004536257363092435,2.0328619599826996,2.0328619599826703,2.0328619599827307,1.2494325815035072e-14,64,64,59,45056,1.0
plt00010324,10324,-0.048693676216235285,-0.05024061366940263,-0.03566329207455819,0.004154009696157613,2.527168970568744,2.5271689705687104,2.52716897056878,1.335178784389209e-14,64,64,59,45056,1.0
plt00010343,10343,-0.050426311152629764,-0.05215286017875195,-0.03841331788796204,0.003828177571668157,3.0210779159014454,3.0210779159014405,3.0210779159014516,2.327499892067112e-15,64,64,59,45056,1.0
plt00010360,10360,-0.05198579459816237,-0.054088891576621,-0.04086970058085852,0.0035495573116018746,3.5146800019277493,3.5146800019277085,3.5146800019277875,1.9214156816147892e-14,64,64,59,45056,1.0
plt00010375,10375,-0.05340636734799509,-0.05583486694100705,-0.04308402736779125,0.003310560654007647,4.0080376447291375,4.0080376447291295,4.00803764472915,4.460278685636402e-15,64,64,59,45056,1.0
plt00010388,10388,-0.05471271153505406,-0.057427283205762625,-0.04509642637682796,0.003104962791335966,4.501195793807243,4.501195793807107,4.501195793807384,6.674472090850651e-14,64,64,59,45056,1.0
plt00010402,10402,-0.05340636189398143,-0.0558348553013729,-0.04308406523629009,0.003310546454766623,4.008037648877283,4.008037648877267,4.008037648877298,8.90119189592806e-15,64,64,59,45056,-1.0
plt00010418,10418,-0.05198578751287262,-0.054088875746217256,-0.04086974661455698,0.0035495397461690844,3.5146800028727316,3.514680002872653,3.5146800028728027,2.7895002497129152e-14,64,64,59,45056,-1.0
plt00010437,10437,-0.05042630209467116,-0.05215283957648641,-0.03841336915875285,0.0038281574881842556,3.0210779114287196,3.021077911428654,3.0210779114287583,2.0890049185743208e-14,64,64,59,45056,-1.0
plt00010458,10458,-0.04869366125712733,-0.05024058135617116,-0.03566337010604355,0.004153978602648509,2.527168955091728,2.527168955091536,2.527168955091914,8.18486465427207e-14,64,64,59,45056,-1.0
plt00010483,10483,-0.046738012748634865,-0.04854418724899268,-0.032552093596905855,0.004536225635282614,2.0328619304550974,2.032861930455045,2.0328619304551534,2.4823541629962794e-14,64,64,59,45056,-1.0
plt00010512,10512,-0.04448186746515375,-0.04661203329850434,-0.02898846403997508,0.004985986335959486,1.538013125892452,1.5380131258924514,1.5380131258924534,5.102800490722269e-16,64,64,59,45056,-1.0
plt00010548,10548,-0.041793493855650135,-0.04434684005683954,-0.0248430265221168,0.005517181905422487,1.0423695809623785,1.0423695809623739,1.0423695809623827,1.7262093760479727e-15,64,64,59,45056,-1.0
plt00010598,10598,-0.038415308613540804,-0.04156710340332092,-0.01990869967883223,0.00615181901262627,0.5454086574907128,0.5454086574907088,0.5454086574907153,1.409876695176591e-15,64,64,59,45056,-1.0
plt00010683,10683,-0.03383252830740636,-0.037961321163719856,-0.013907229151347983,0.006936728740312716,0.04577217062509589,0.0457721706250958,0.045772170625095976,3.568853652089092e-17,64,64,59,45056,-1.0
plt00010778,10778,-0.031371710822516774,-0.03614126144882979,-0.011060211174170909,0.007339036711618716,-0.455586787282319,-0.45558678728232227,-0.45558678728231616,1.2537911185111623e-15,64,64,59,45056,-1.0
plt00010889,10889,-0.02961768225552961,-0.03491330797443856,-0.0091933742864295,0.007631704851983885,-0.9571392649989157,-0.9571392649989316,-0.9571392649989017,6.05497917364983e-15,64,64,59,45056,-1.0
plt00011121,11121,0.044212879129966784,0.028567406003806663,0.0463835442795966,0.005039709610196094,-1.5075420260093566,-1.507542026009441,-1.5075420260092776,3.8097750379629407e-14,64,64,59,45056,-1.0
plt00011147,11147,0.0464787138276133,0.03214022633831005,0.0483207710379499,0.00458769572263034,-2.00253755039852,-2.002537550398522,-2.002537550398518,1.0370338861126152e-15,64,64,59,45056,-1.0
plt00011169,11169,0.04844184010992651,0.03526257941840306,0.050021068718944274,0.004202523633827779,-2.496979173357631,-2.496979173357635,-2.496979173357624,2.5679532958334533e-15,64,64,59,45056,-1.0
plt00011188,11188,0.050180725758747984,0.038024562283508104,0.05184595811486184,0.0038734206083661706,-2.9910135191232463,-2.9910135191232876,-2.9910135191232055,1.8286353987391813e-14,64,64,59,45056,-1.0
