plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00008214,8214,0.06271891863448077,0.05171971952383308,0.06499921360659298,0.0035107342468701746,-4.47866791596733,-4.478667915968004,-4.478667915966759,2.475914338746592e-13,64,64,59,45056,0.0
plt00008229,8229,0.06155937823724669,0.04969414230670635,0.06356740178055466,0.0037761670882805495,-3.9855194216555523,-3.985519421655643,-3.985519421655455,3.3928849764752394e-14,64,64,59,45056,1.0
plt00008246,8246,0.06030668112040292,0.04745133947044905,0.062008188186449875,0.004085910556157235,-3.49218272908596,-3.4921827290860614,-3.4921827290858594,6.236074402707199e-14,64,64,59,45056,1.0
plt00008265,8265,0.058942984914851,0.04494811217346946,0.06055121278086422,0.004449031757265931,-2.9986182268558554,-2.9986182268558803,-2.9986182268558284,1.2895564222091352e-14,64,64,59,45056,1.0
plt00008287,8287,0.05744473685344838,0.04213155636376322,0.05929521685032503,0.0048764118686371975,-2.5047731282172023,-2.5047731282172516,-2.5047731282171615,2.033837979563601e-14,64,64,59,45056,1.0
plt00008312,8312,0.05577977257238662,0.038938598507626244,0.05792258070853849,0.005380454286129109,-2.01057483914335,-2.010574839143405,-2.0105748391433096,2.28847371938028e-14,64,64,59,45056,1.0
plt00008341,8341,0.05390195921434383,0.035297004007845266,0.056403790426357674,0.005974145335742595,-1.5159182655575412,-1.5159182655575794,-1.515918265557504,1.4326582858630812e-14,64,64,59,45056,1.0
plt00008374,8374,0.05174018105243883,0.0311278690636003,0.05469352849871544,0.006669455837629085,-1.0206369045403665,-1.0206369045404151,-1.0206369045403028,2.3937329502396264e-14,64,64,59,45056,1.0
plt00008412,8412,0.04917425832831515,0.02634571723562625,0.05271822423224895,0.007477267348537026,-0.5244244054634006,-0.52442440546341,-0.5244244054633924,3.903335982214114e-15,64,64,59,45056,1.0
plt00008466,8466,0.045986395689998204,0.02085785410751451,0.05036306022349552,0.00841699151447521,-0.02659901833539757,-0.026599018335397868,-0.026599018335397278,1.5774482132702354e-16,64,64,59,45056,1.0
plt00008539,8539,0.04303377296140991,0.016341532342807257,0.048321316870396175,0.0092317422506867,0.47374877821239014,0.4737487782123445,0.47374877821243816,2.0196669582078483e-14,64,64,59,45056,1.0
plt00008608,8608,0.041896464064244424,0.01475286994235974,0.04758418972151251,0.009542417086693573,0.9744618327501731,0.9744618327501712,0.9744618327501748,8.713217454404822e-16,64,64,59,45056,1.0
plt00008692,8692,0.04057239077185907,0.013005277254282762,0.046768894982932935,0.009910764461650913,1.4756772121834825,1.47567721218347,1.4756772121834978,6.791557391062564e-15,64,64,59,45056,1.0
plt00008854,8854,-0.05600809081912927,-0.05810937497628979,-0.03937928453133691,0.005309851965544607,2.040831600452173,2.040831600452165,2.040831600452181,3.4892633515454736e-15,64,64,59,45056,1.0
plt00008876,8876,-0.057669043212863376,-0.0594820184823736,-0.04255708417008655,0.004810716321919887,2.5349008847906704,2.534900884790654,2.5349008847906878,7.176198573685038e-15,64,64,59,45056,1.0
plt00008895,8895,-0.05916346089390287,-0.06073768566216346,-0.04535691063027284,0.004388589714174941,3.0286242082286003,3.0286242082285493,3.028624208228669,2.6357043008428783e-14,64,64,59,45056,1.0
plt00008912,8912,-0.060523583254383236,-0.062279158148404797,-0.04784362987136466,0.004030616625511117,3.5220729001004103,3.522072900100367,3.5220729001004405,1.45598035478052e-14,64,64,59,45056,1.0
plt00008927,8927,-0.06177299968318657,-0.06383197410315145,-0.050070960930629,0.0037257184950818226,4.015298763147811,4.015298763147474,4.015298763148089,1.6459553405434132e-13,64,64,59,45056,1.0
