plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00007567,7567,0.036940683045841256,0.03284610320590654,0.038981783534950666,0.0013977870993856828,-4.455492565548019,-4.455492565548201,-4.455492565547836,8.177182614865695e-14,64,64,59,45056,0.0
plt00007576,7576,0.036083218549907176,0.0315405320426723,0.03795793265437311,0.0015095439346885333,-3.962889612588243,-3.962889612588268,-3.9628896125882145,1.2491242547259912e-14,64,64,59,45056,1.0
plt00007586,7586,0.03514115366168866,0.030067788546326763,0.03682513135129337,0.0016522122996264759,-3.4701292300195723,-3.4701292300195767,-3.470129230019568,1.8701574209160096e-15,64,64,59,45056,1.0
plt00007598,7598,0.034093608833379384,0.028380881575028823,0.035554496182096496,0.0018350562973082935,-2.977169363198712,-2.9771693631992413,-2.9771693631983966,1.5318246610664423e-13,64,64,59,45056,1.0
plt00007613,7613,0.03291070065473678,0.02641294395625638,0.034103575778426785,0.0020712044957342073,-2.483948532517367,-2.483948532517399,-2.48394853251734,1.4172639415151299e-14,64,64,59,45056,1.0
plt00007632,7632,0.03154744907742329,0.024067353361049572,0.03240574296163774,0.0023793581819229674,-1.9903726581760062,-1.990372658176076,-1.9903726581758976,4.091576672984422e-14,64,64,59,45056,1.0
plt00007656,7656,0.029931391176774416,0.021205044749278378,0.031023012114618612,0.0027853067436507785,-1.496286586787474,-1.49628658678748,-1.4962865867874675,2.4290489862546486e-15,64,64,59,45056,1.0
plt00007686,7686,0.027933648351220884,0.01763534463925494,0.029372664968233434,0.0033205051558205883,-1.0013993975623257,-1.0013993975623745,-1.0013993975622593,2.5574665739152755e-14,64,64,59,45056,1.0
plt00007730,7730,0.025284377146783724,0.013121990783781366,0.027268006904810387,0.0040154883970749695,-0.505022174330245,-0.5050221743302467,-0.5050221743302433,8.427828685313985e-16,64,64,59,45056,1.0
plt00007803,7803,0.02241629526851717,0.008870121122422412,0.025139898193014872,0.004693091575107449,-0.005492747697856891,-0.005492747697857011,-0.005492747697856794,5.1948220816629036e-17,64,64,59,45056,1.0
plt00007887,7887,0.02115770040631354,0.007253845880132499,0.024283774995106245,0.004979694454721776,0.4952978719673163,0.4952978719673122,0.49529787196732006,1.883535877626736e-15,64,64,59,45056,1.0
plt00008017,8017,0.019432168062874733,0.005275561929083538,0.023222219836534438,0.00539388439714516,0.9972367074432127,0.9972367074431793,0.9972367074432483,1.566043022002388e-14,64,64,59,45056,1.0
plt00008092,8092,-0.030110387933015594,-0.031173389224251544,-0.021524871987917603,0.002738671149027166,1.526705987408684,1.5267059874085969,1.5267059874087734,4.193296160365457e-14,64,64,59,45056,1.0
plt00008111,8111,-0.0317161641962651,-0.03261758953339102,-0.024361648213407024,0.002339326306391695,2.0206437037005776,2.0206437037004057,2.020643703700749,6.993085439400823e-14,64,64,59,45056,1.0
plt00008126,8126,-0.03307194525395433,-0.034302471683775454,-0.026685028853094647,0.00203723688611687,2.5140843121110157,2.5140843121109886,2.514084312111049,1.3530494384226473e-14,64,64,59,45056,1.0
plt00008138,8138,-0.034248924722917934,-0.035743681393941754,-0.02863430060255291,0.0018063650884790098,3.007180363903371,3.0071803639033474,3.007180363903402,1.2897356276568769e-14,64,64,59,45056,1.0
plt00008148,8148,-0.03529160533016226,-0.03700664233086432,-0.030305762591849375,0.0016280370752698428,3.5000236374870526,3.500023637487036,3.5000236374870677,8.836914995690415e-15,64,64,59,45056,1.0
plt00008157,8157,-0.03622961838213195,-0.03813322165463686,-0.0317657424185864,0.0014892426594737755,3.9926736697154297,3.992673669715427,3.992673669715431,1.1683745737483645e-15,64,64,59,45056,1.0
plt00008169,8169,-0.03708366142751933,-0.0391518414962356,-0.03306070194225639,0.0013808232656845703,4.485171455456907,4.485171455456761,4.485171455457047,6.556475627675688e-14,64,64,59,45056,1.0
plt00008178,8178,-0.036229617064763145,-0.03813319823255535,-0.031765742692273564,0.0014892400976018278,3.992673756366702,3.99267375636606,3.992673756367288,2.8816295222789263e-13,64,64,59,45056,-1.0
plt00008188,8188,-0.0352916048167563,-0.03700664148626243,-0.030305766801842045,0.001628035601533081,3.5000236398062645,3.5000236398062126,3.500023639806321,2.340978370407432e-14,64,64,59,45056,-1.0
plt00008200,8200,-0.03424892330249774,-0.03574367818793547,-0.028634315011211567,0.001806360019941182,3.0071803693611194,3.0071803693610977,3.0071803693611447,1.0965103524917668e-14,64,64,59,45056,-1.0
plt00008215,8215,-0.03307194294609097,-0.03430246564362651,-0.026685052939298293,0.002037228318843039,2.514084317378118,2.5140843173780922,2.514084317378144,1.2734335527125287e-14,64,64,59,45056,-1.0
