plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00005491,5491,-2.312302691064065,-60.163763831787946,60.48155953251599,48.94525049347649,-2.5952321613842164,-18.427542333129818,14.94018532965045,10.96464224830218,64,64,59,45056,0.0
plt00005700,5700,-2.3200219219947837,-60.165201571019104,60.480280688326424,48.94535671726326,-2.097917320181092,-17.93081374931665,15.437498207687723,10.964675024211164,64,64,59,45056,1.0
plt00005909,5909,-2.327784256000231,-60.16663769184024,60.479006416037905,48.94546266336524,-1.6005815782089525,-17.434077638294145,15.934872584514371,10.964709836421635,64,64,59,45056,1.0
plt00006117,6117,-2.3355351297852978,-60.16807447374957,60.47772979684933,48.94556485779575,-1.10325380034717,-16.937344139826244,16.432232764335534,10.96474387798257,64,64,59,45056,1.0
plt00006324,6324,-2.3432747804067535,-60.16951189518658,60.476450864852765,48.945663310254695,-0.6059338693356688,-16.440613088659898,16.929578582206517,10.96477714503247,64,64,59,45056,1.0
plt00006530,6530,-2.351003385639326,-60.17094994156734,60.47516965119593,48.94575803925087,-0.10862166485583535,-15.943884434408618,17.426910278471535,10.964809645190035,64,64,59,45056,1.0
plt00006735,6735,-2.3587211217126485,-60.17238859861279,60.47388618648641,48.945849063012886,0.38868293197383297,-15.447158127678126,17.924228094772005,10.964841386079687,64,64,59,45056,1.0
plt00006939,6939,-2.3664281614681695,-60.173827852271096,60.47260050078157,48.94593639932722,0.8859800377983615,-14.95043411941928,18.421532266987864,10.964872375136686,64,64,59,45056,1.0
plt00007142,7142,-2.374124674452564,-60.17526768869356,60.471312623622644,48.9460200655452,1.3832697665604423,-14.453712361270195,18.918823024369107,10.964902619558053,64,64,59,45056,1.0
plt00007344,7344,-2.3818108270022624,-60.17670809434926,60.47002258395283,48.946100078594796,1.8805522301487558,-13.956992805028284,19.416100590526632,10.9649321263721,64,64,59,45056,1.0
plt00007545,7545,-2.389486782375572,-60.17814905586395,60.46873041024489,48.9461764549956,2.377827538124263,-13.460275403099311,19.91336518357154,10.964960902408263,64,64,59,45056,1.0
plt00007745,7745,-2.3971527008325753,-60.1795905601395,60.467436130431025,48.9462492108645,2.8750957977459244,-12.963560108468076,20.410617015915268,10.964988954323298,64,64,59,45056,1.0
plt00007944,7944,-2.4048087397206044,-60.18103259424733,60.466139771980956,48.94631836193078,3.3723571142554745,-12.46684687448174,20.90785629483202,10.965016288584303,64,64,59,45056,1.0
plt00008142,8142,-2.4124550535711737,-60.182475145468295,60.464841361880616,48.94638392354342,3.8696115908102278,-11.97013565495108,21.405083222584494,10.965042911517083,64,64,59,45056,1.0
plt00008339,8339,-2.4200917941770865,-60.183918201287824,60.463540926674746,48.94644591068604,4.366859328675102,-11.473426404045092,21.902297996368066,10.965068829212468,64,64,59,45056,1.0
