plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00006790,6790,0.0723245870363621,0.05414873649723215,0.07570960152790004,0.005826521316946395,-4.486929326765001,-4.486929326765084,-4.486929326764932,3.460513698901919e-14,64,64,59,45056,0.0
plt00006815,6815,0.07019174430464492,0.05141880249422077,0.07304235824407664,0.006009654045616503,-3.992633600098504,-3.9926336000985465,-3.992633600098456,2.1002884502807575e-14,64,64,59,45056,1.0
plt00006842,6842,0.06791111390458981,0.048501761961147694,0.07026566175133762,0.006213469396343319,-3.498108560825951,-3.4981085608259668,-3.498108560825931,7.811900318733702e-15,64,64,59,45056,1.0
plt00006872,6872,0.06545329254843262,0.04536485457417617,0.0680253450853895,0.0064409768321280715,-3.003308109069023,-3.003308109069027,-3.0033081090690192,1.8890111172146845e-15,64,64,59,45056,1.0
plt00006906,6906,0.06277787452098381,0.04196496689236249,0.06559864877174455,0.006695951266802597,-2.50816885423889,-2.5081688542389666,-2.5081688542387823,3.694641409965861e-14,64,64,59,45056,1.0
plt00006944,6944,0.05982670613150032,0.03824327512027332,0.06293791157863154,0.006983258648943087,-2.012599436650392,-2.0125994366504045,-2.0125994366503797,5.27531205943476e-15,64,64,59,45056,1.0
plt00006989,6989,0.05651058702668854,0.034115125934323934,0.05997101838369508,0.00730951868820992,-1.5164592982465963,-1.516459298246617,-1.5164592982465768,9.852447465325835e-15,64,64,59,45056,1.0
plt00007043,7043,0.05268036417307845,0.02944951816719821,0.056579678061166136,0.007684593613379035,-1.0195104906043004,-1.0195104906043024,-1.0195104906042982,1.0605390551611693e-15,64,64,59,45056,1.0
plt00007114,7114,0.04805613424850675,0.024023684694349887,0.05255024823193499,0.008125919657985628,-0.521286235033323,-0.5212862350333249,-0.5212862350333203,9.66974140295387e-16,64,64,59,45056,1.0
plt00007222,7222,0.042048502321186,0.01744179659334631,0.047466787219699505,0.008674096973595785,-0.020655881194522024,-0.020655881194524172,-0.020655881194519915,8.192363624030252e-16,64,64,59,45056,1.0
plt00007342,7342,0.03766229678049569,0.013057725254000053,0.043919981342317206,0.009071100673550119,0.48179000757354834,0.48179000757354173,0.481790007573556,3.4228586711172085e-15,64,64,59,45056,1.0
plt00007470,7470,0.03556942832115905,0.011108540612310104,0.04229933954292079,0.009270449485251507,0.9835265415421288,0.9835265415421234,0.9835265415421361,2.8505935559736723e-15,64,64,59,45056,1.0
