plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00010281,10281,0.04025967258571116,0.03513325174144677,0.04248288614141232,0.001714341588391865,-4.458601965219746,-4.4586019652198345,-4.4586019652196365,3.6889989742039155e-14,64,64,59,45056,0.0
plt00010291,10291,0.039293599856205064,0.033637736519598546,0.041332696274451526,0.0018545056016948925,-3.9658460653314966,-3.96584606533163,-3.9658460653313696,5.3374022425998803e-14,64,64,59,45056,1.0
plt00010303,10303,0.038230554237365426,0.031952093229387156,0.04005824252095966,0.0020290758919582776,-3.47291415371257,-3.472914153712883,-3.4729141537122796,1.3815453120001907e-13,64,64,59,45056,1.0
plt00010317,10317,0.03704637868255705,0.030025931246792783,0.03862615605954825,0.002247417480938553,-2.979759593531922,-2.9797595935320387,-2.9797595935317944,5.5853653133722395e-14,64,64,59,45056,1.0
plt00010334,10334,0.03570636238452078,0.027790186997488055,0.03698690198241231,0.0025220209014628096,-2.4863149583789013,-2.486314958378981,-2.48631495837883,3.243409732080588e-14,64,64,59,45056,1.0
plt00010355,10355,0.034157774925496,0.025150137452633486,0.03521374517561152,0.0028690346842109686,-1.9924776450662676,-1.9924776450662909,-1.992477645066239,1.250800634515249e-14,64,64,59,45056,1.0
plt00010381,10381,0.032313712857336835,0.021977637636574385,0.03364743623788885,0.003307540774349117,-1.4980779679243912,-1.4980779679244445,-1.4980779679243355,2.475185837712216e-14,64,64,59,45056,1.0
plt00010414,10414,0.030011310065361285,0.018102035998862415,0.031735393781518316,0.0038559226927854123,-1.0027889517019077,-1.0027889517019255,-1.00278895170189,1.0075121024031109e-14,64,64,59,45056,1.0
plt00010466,10466,0.026869486184612146,0.013267868185170445,0.02921245488187637,0.00453209212690091,-0.5057827967865365,-0.505782796786539,-0.5057827967865343,9.678699938266253e-16,64,64,59,45056,1.0
plt00010557,10557,0.023079920202263834,0.008447782578359556,0.02637384023149061,0.005216546373763508,-0.00509500355616036,-0.005095003556160395,-0.005095003556160318,1.7282400284695266e-17,64,64,59,45056,1.0
plt00010683,10683,0.02133729604461424,0.006604753498395882,0.025184233702724525,0.005515209487558671,0.4964545690978052,0.4964545690978015,0.4964545690978087,1.8577973261601375e-15,64,64,59,45056,1.0
plt00010930,10930,0.018531711273215554,0.004075229410244584,0.023471044549024756,0.006019682553142639,1.0000617922599546,1.0000617922584403,1.000061792261625,7.95632902989664e-13,64,64,59,45056,1.0
plt00011002,11002,-0.03252133595170527,-0.033822247605552656,-0.022333890311259253,0.0032575562635693144,1.5285249852134215,1.5285249852134106,1.5285249852134295,4.107918958879418e-15,64,64,59,45056,1.0
plt00011024,11024,-0.03435226376430888,-0.03538078299420401,-0.025483926448610684,0.0028240749408030594,2.022771946297487,2.022771946297449,2.0227719462975084,1.2460986150232112e-14,64,64,59,45056,1.0
plt00011042,11042,-0.035891514063475974,-0.037214736819278026,-0.028102211795588704,0.002482512770800236,2.5164709258496956,2.516470925849583,2.5164709258499225,6.271639941110677e-14,64,64,59,45056,1.0
plt00011057,11057,-0.0372241888626194,-0.03884210904879634,-0.030318268527481502,0.0022131083164062346,3.0097882398374467,3.0097882398374036,3.009788239837495,2.1769290889592634e-14,64,64,59,45056,1.0
plt00011069,11069,-0.03840236696320285,-0.04026489730802548,-0.03222735112303271,0.001999456058481102,3.5028239826798133,3.5028239826796876,3.5028239826799106,3.8260756448783634e-14,64,64,59,45056,1.0
plt00011079,11079,-0.03946042347611578,-0.04153183281703452,-0.033898445084756534,0.0018290303086306648,3.995643655877684,3.99564365587761,3.995643655877762,3.276521895730457e-14,64,64,59,45056,1.0
