plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00010289,10289,0.03912771785119377,0.03295827950092826,0.0421712883199309,0.0019363696377092264,-4.461599696929746,-4.4615996969297775,-4.461599696929691,1.8706846156608744e-14,64,64,59,53248,0.0
plt00010308,10308,0.03767054962145105,0.031138183943497814,0.04038078908571717,0.0019997393866869953,-3.967728962177368,-3.9677289621773975,-3.967728962177339,1.3143136966338571e-14,64,64,59,53248,1.0
plt00010329,10329,0.03608834854505182,0.02915757815858092,0.0384295659640446,0.002079750287999361,-3.473668810852722,-3.4736688108528337,-3.4736688108526335,4.859765893220671e-14,64,64,59,53248,1.0
plt00010353,10353,0.034349906594078716,0.026979002097343076,0.03627624469248159,0.002179687427457282,-2.979372043822725,-2.979372043822786,-2.9793720438226665,2.5987935411380253e-14,64,64,59,53248,1.0
plt00010381,10381,0.03240905151081707,0.024549204702150412,0.03385914998849295,0.0023037687561182057,-2.4847692032637574,-2.4847692032641078,-2.48476920326349,1.3381724951162112e-13,64,64,59,53248,1.0
plt00010414,10414,0.030192375842673733,0.0217882189172988,0.031079349952517793,0.002457518535490699,-1.9897505303952077,-1.9897505303952707,-1.9897505303951684,2.0486698525059827e-14,64,64,59,53248,1.0
plt00010456,10456,0.027570342360600613,0.018566218301659727,0.028590835742434362,0.0026481990617269204,-1.4941226806629548,-1.4941226806629715,-1.4941226806629362,9.578649809792096e-15,64,64,59,53248,1.0
plt00010514,10514,0.024273409803862105,0.014645177966840344,0.02554273682505783,0.0028847730559901164,-0.9974787758347147,-0.9974787758347285,-0.9974787758346991,6.6428231557670406e-15,64,64,59,53248,1.0
plt00010618,10618,0.019523513570301687,0.009461596096939405,0.021216867424763523,0.003175348715007337,-0.4986177582529416,-0.4986177582529442,-0.49861775825293886,1.209917084237072e-15,64,64,59,53248,1.0
plt00010806,10806,0.01442159679680696,0.004848294460662951,0.016743099171726932,0.003387611544749094,0.004159678341089102,0.004159678341088038,0.004159678341090149,5.69905485994779e-16,64,64,59,53248,1.0
plt00012573,12573,-0.0027147644081279318,-0.030903000679598672,0.0314175013062843,0.02459389959463529,0.5163085780643251,0.5101256903560921,0.522696036091563,0.004466885922830581,64,64,59,53248,1.0
plt00015771,15771,-0.013612598820319951,-0.03059110032614231,0.03149010960623697,0.021058764212142998,1.018771385807433,1.0121808702573167,1.023731953448017,0.003997422064895734,64,64,59,53248,1.0
plt00015947,15947,-0.027855719472342076,-0.02885603663108486,-0.018913471205961166,0.002627290693575066,1.5247138933648474,1.5247138208494833,1.5247139199023556,1.670797920855683e-08,64,64,59,53248,1.0
plt00015981,15981,-0.03046012877455339,-0.03141632517170222,-0.02212039689076265,0.0024384417834507417,2.0202041743032972,2.020204174300893,2.0202041743045323,6.576954216814334e-13,64,64,59,53248,1.0
