plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00001775,1775,0.07785523232243821,0.04690187430397733,0.08359266584237189,0.009491941822904514,-4.494358906774128,-4.494358906774193,-4.494358906774049,3.066808993402418e-14,64,64,59,53248,0.0
plt00001930,1930,0.0677536062168189,0.040811828467848664,0.07274434332783723,0.008261928907065915,-3.993091402594129,-3.993091402594162,-3.993091402594099,1.3054093724471786e-14,64,64,59,53248,1.0
plt00002087,2087,0.057676776108595604,0.034738717174122066,0.061923696516130576,0.007034263144398394,-3.4918222062895943,-3.4918222062896227,-3.4918222062895645,1.2514656330781521e-14,64,64,59,53248,1.0
plt00002246,2246,0.04763442643221143,0.028687951818628387,0.05114081967764016,0.005810265918430626,-2.990553560051966,-2.99055356005199,-2.990553560051948,9.310496035383492e-15,64,64,59,53248,1.0
plt00002408,2408,0.037639462347185494,0.022667021854855605,0.04040943578102236,0.004591607437210182,-2.4892877892898273,-2.4892877892898593,-2.4892877892898078,1.0531330062884584e-14,64,64,59,53248,1.0
plt00002573,2573,0.02771268121858585,0.01668816481798969,0.029751733792947564,0.003380922209404617,-1.9880282325223706,-1.9880282325223768,-1.9880282325223615,3.679472399280162e-15,64,64,59,53248,1.0
plt00002741,2741,0.01790129505109169,0.010779531418099234,0.019218266877476818,0.002184065166126555,-1.4867815704336766,-1.4867815704337801,-1.4867815704335356,4.9829143591306315e-14,64,64,59,53248,1.0
plt00002912,2912,0.00838626463008013,0.0050498160953946075,0.009003179822579605,0.0010232077798269061,-0.9855714843877953,-0.9855714843878108,-0.9855714843877825,6.2369502026827594e-15,64,64,59,53248,1.0
plt00003049,3049,0.001769448554258316,0.001065471100430052,0.001899607085968134,0.00021589311906345505,-0.484729645977799,-0.48472964597780294,-0.4847296459777949,1.8410704510214475e-15,64,64,59,53248,1.0
plt00003207,3207,-5.6377115583529604e-05,-6.052466766238472e-05,-3.3947775225143464e-05,6.87853247653853e-06,0.015502666769166153,0.015502666769166123,0.015502666769166177,1.0047460119284777e-17,64,64,59,53248,1.0
plt00003330,3330,-0.001895124360916851,-0.00203454435508184,-0.001141158924998929,0.00023122285225030237,0.5157366064182621,0.5157366064182587,0.5157366064182652,1.3884031407833908e-15,64,64,59,53248,1.0
plt00003498,3498,-0.009069103140851298,-0.009736289567224667,-0.005461024547893602,0.0011065095522960384,1.0166492686578488,1.016649268657846,1.016649268657852,1.5520802731945133e-15,64,64,59,53248,1.0
plt00003667,3667,-0.018804393804746404,-0.020187874908061003,-0.011323419198511379,0.002294224581015023,1.5178872604101759,1.5178872604101414,1.5178872604102138,1.645353238118735e-14,64,64,59,53248,1.0
plt00003833,3833,-0.028810617915741812,-0.03093056684445225,-0.01734946579677144,0.003514823177868074,2.0191584923485753,2.019158492348573,2.0191584923485797,1.5483531879946614e-15,64,64,59,53248,1.0
