plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00012940,12940,0.05905132284669618,-0.351027238807548,0.35277464370682615,0.30108359788663325,-4.4934492281477505,-4.56346662329925,-4.42758972176097,0.046923442569932666,64,64,59,57344,0.0
plt00013210,13210,0.05659161097867956,-0.35196760055655085,0.3518587178017446,0.30154693111875536,-3.997266746109866,-4.067399481867738,-3.9315803863599412,0.04693130911133725,64,64,59,57344,1.0
plt00013397,13397,0.05439115250675201,-0.35290367257190813,0.35094198130375587,0.30187435133630725,-3.5010595335444767,-3.5713380182143184,-3.4355435159734125,0.046950566407659364,64,64,59,57344,1.0
plt00013548,13548,0.052304459312662,-0.35382669649206666,0.35002057027534234,0.3021186339558965,-3.0048250086317907,-3.0752603900769793,-2.9394831489303885,0.04696993191159815,64,64,59,57344,1.0
plt00013679,13679,0.05027813809181687,-0.3547335216210981,0.3490957691045144,0.30229838900191447,-2.5085524056556396,-2.579150687362665,-2.4433910002015087,0.04698643383824153,64,64,59,57344,1.0
plt00013798,13798,0.04828544678760184,-0.35562129271498044,0.3481707971413907,0.3024218074083952,-2.012222512421417,-2.0829888594773003,-1.9472460561561378,0.04699956009969957,64,64,59,57344,1.0
plt00013913,13913,0.046317244583388435,-0.35648526300596795,0.34725277097281665,0.30249103077728645,-1.5157974525171216,-1.5867394339849814,-1.4510022800553144,0.047011051792222334,64,64,59,57344,1.0
plt00014030,14030,0.044375581869219465,-0.3573174207621061,0.3463542646104096,0.30250618837275584,-1.0192242388662893,-1.0903571304487047,-0.9546035889576123,0.04702430751165871,64,64,59,57344,1.0
plt00014156,14156,0.04246204644145619,-0.35810629837506036,0.3454908034792229,0.3024698839635163,-0.5224522577471826,-0.5938020829888001,-0.45800781490152676,0.047041830307119184,64,64,59,57344,1.0
plt00014297,14297,0.04059277064401611,-0.3588211227126642,0.3447924961275913,0.3023865646144996,-0.025407208766490934,-0.09702642954088629,0.038834565280288114,0.04706824565798149,64,64,59,57344,1.0
plt00014464,14464,0.03890601031795699,-0.3593166919830171,0.3443783844916316,0.3022679418170792,0.47214935042460154,0.40005793416569724,0.5363846213099318,0.04713441161490542,64,64,59,57344,1.0
plt00014681,14681,0.0375046251077222,-0.3596055349554755,0.3441219657080026,0.3021391807548228,0.9703840583509542,0.8976326069150408,1.0347599708784652,0.047228735908043655,64,64,59,57344,1.0
plt00015010,15010,0.036217678958504085,-0.35990527103202524,0.3438541320316937,0.302030485362717,1.4690977531339,1.3959755705434462,1.5331964644258218,0.04724164119408881,64,64,59,57344,1.0
plt00015577,15577,0.026627983237341803,-0.3604068784780304,0.34340958137549016,0.3034441866454167,1.9740148826780677,1.9089953820007828,2.055675454806218,0.047179074225403975,64,64,59,57344,1.0
plt00015983,15983,0.024205324555279007,-0.3610174612046178,0.3428841231212731,0.30322816574433753,2.4715751948809346,2.4063344371222364,2.5525119383375503,0.047074539155114954,64,64,59,57344,1.0
plt00016701,16701,-0.0017282070108447353,-0.3550058568191963,0.34804530642132336,0.3057664737917067,2.9894051137500366,2.917600418660183,3.0540514067025426,0.04733574436444242,64,64,59,57344,1.0
plt00017289,17289,-0.004433627606508779,-0.3558630001327167,0.34710981636916394,0.30539959190184096,3.485988280161633,3.4142474728962013,3.5504898016302278,0.04724989861996539,64,64,59,57344,1.0
plt00018287,18287,-0.04015789862929444,-0.35546598219787423,0.34781257366956975,0.3040854817053813,4.012388063361252,3.9455633335776215,4.0810166685420395,0.04603264776178951,64,64,59,57344,1.0
plt00019304,19304,-0.04326587501672582,-0.3563514290277006,0.3468437619651116,0.3034425723039101,4.508547181128311,4.4415642057525355,4.577141073711334,0.04604015291575112,64,64,59,57344,1.0
plt00019635,19635,-0.04015802420456077,-0.3554659839699608,0.3478125758240461,0.3040854407179808,4.012388070211776,3.9455633461655317,4.081016694384625,0.04603265434687855,64,64,59,57344,-1.0
plt00019839,19839,-0.037759447596211956,-0.3545830920603756,0.3487724498858287,0.3044699100464417,3.516202115059806,3.4495193247200273,3.5849741104928268,0.046057154045458334,64,64,59,57344,-1.0
plt00020000,20000,-0.035575731587961824,-0.3536932764822154,0.34972088342920665,0.3047469591105131,3.0200046950049493,2.9534613471117668,3.088935927932955,0.04608329604884809,64,64,59,57344,-1.0
plt00020138,20138,-0.033508310029549834,-0.35279713376181626,0.3506560660841073,0.3049479054336094,2.523780434702422,2.4573657512633877,2.5928686938037075,0.04610690343610041,64,64,59,57344,-1.0
plt00020262,20262,-0.03152305103238496,-0.351897957001485,0.35157438984038863,0.30508409511739115,2.0274966616642844,1.9611826183916439,2.0967294547300135,0.04612814122756944,64,64,59,57344,-1.0
plt00020379,20379,-0.02961004080999491,-0.3510038145019566,0.35246797370917654,0.30516099109822353,1.5311108458309788,1.4648672700680048,1.6004796955971066,0.04614854279636794,64,64,59,57344,-1.0
plt00020493,20493,-0.027770284330899255,-0.35013316874858724,0.35332069074825645,0.30518372780785435,1.0345782348721362,0.9683942184225482,1.104092914727386,0.046169966090726336,64,64,59,57344,-1.0
plt00020608,20608,-0.026020259455395076,-0.34932112882113736,0.3541051058427663,0.30515846989122325,0.5378378095545175,0.4717345451043985,0.607537854065269,0.04619548963906734,64,64,59,57344,-1.0
plt00020728,20728,-0.024434745357736345,-0.3486750964261322,0.35474503266400725,0.30509491739749084,0.0407398815908771,-0.025169078081027436,0.11075847451875999,0.046236781560887175,64,64,59,57344,-1.0
plt00020853,20853,-0.023147502811150623,-0.3482426663597872,0.3551801203419543,0.30501700416310085,-0.45695309393899747,-0.5224654748419929,-0.38637924943836105,0.0462937452140101,64,64,59,57344,-1.0
plt00020982,20982,-0.022261921582089703,-0.3479545347443526,0.3554521462321222,0.3049685571490232,-0.9554089457835635,-1.0204591326628456,-0.8842053770127336,0.04632520032986693,64,64,59,57344,-1.0
plt00021123,21123,-0.02089625156139133,-0.3473569747728267,0.3559924142957968,0.3049302760567386,-1.4531343397615648,-1.517954210149257,-1.3819036875711983,0.04627244222665579,64,64,59,57344,-1.0
plt00021287,21287,-0.019116205702185838,-0.34655224465660933,0.3566983888086643,0.3048446134369958,-1.9503470281934132,-2.0150051850942257,-1.879219541633497,0.046191353682284,64,64,59,57344,-1.0
plt00021498,21498,-0.017038589794228117,-0.34568999059682787,0.3574431987736405,0.304689099501487,-2.447405826272158,-2.5118796081023658,-2.376377603080729,0.04610322951075941,64,64,59,57344,-1.0
plt00021857,21857,-0.014527380185579425,-0.3448575441419394,0.35819117712239484,0.30442384928302885,-2.944465923182791,-3.008722772590543,-2.873521177270025,0.046010736046275966,64,64,59,57344,-1.0
plt00022564,22564,0.012234131486024924,-0.34705379484207033,0.35508105067069734,0.30586918052126827,-3.4628459544378174,-3.5251257490739545,-3.396559434260698,0.04555416210625697,64,64,59,57344,-1.0
plt00023973,23973,0.023295348734433518,-0.3462286987390937,0.35571758910566276,0.3053299810338787,-3.9667488885080564,-4.029096355404947,-3.895642667939539,0.04546510145975033,64,64,59,57344,-1.0
plt00025422,25422,0.05065572592836644,-0.3480537069810051,0.3525475161467691,0.3027792289483766,-4.485701971126678,-4.544314939367059,-4.423343250515611,0.044443099365077295,64,64,59,57344,-1.0
