plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00013122,13122,0.06851723545269132,0.05212047159973793,0.07005483812613685,0.004588764325405885,-4.502481614605975,-4.502481614605984,-4.502481614605965,4.723343357811471e-15,64,64,59,57344,0.0
plt00013149,13149,0.06688815743143388,0.04991952517661827,0.06854510680685284,0.004759469575596622,-4.00643830955844,-4.006438309558842,-4.006438309557947,1.742548354626226e-13,64,64,59,57344,1.0
plt00013178,13178,0.06516522275292479,0.04758037020282374,0.0669540129941821,0.004949244215525443,-3.5102159626645566,-3.510215962664722,-3.510215962664385,7.936124317961665e-14,64,64,59,57344,1.0
plt00013209,13209,0.06333325178853957,0.04508117787671459,0.0652691731441758,0.005161255459328163,-3.0137832724176343,-3.0137832724176747,-3.0137832724175664,2.33904257256191e-14,64,64,59,57344,1.0
plt00013243,13243,0.061372577114831565,0.04239410636739376,0.06347476389843833,0.005399642453522216,-2.5170991480945952,-2.5170991480946197,-2.5170991480945686,1.0158389004375822e-14,64,64,59,57344,1.0
plt00013280,13280,0.05925698789015654,0.039482948547876234,0.06155003176997581,0.005669939768657334,-2.02010789871136,-2.0201078987113736,-2.020107898711344,8.202324399905825e-15,64,64,59,57344,1.0
plt00013321,13321,0.056950253226314244,0.036299170918005524,0.05946687547043454,0.005979858802185526,-1.5227307859659907,-1.522730785965999,-1.5227307859659822,3.843520917782008e-15,64,64,59,57344,1.0
plt00013368,13368,0.05440012713638028,0.03277564903527127,0.05718588478308301,0.006340678574865917,-1.0248500734129184,-1.0248500734129213,-1.0248500734129151,1.3999379669858416e-15,64,64,59,57344,1.0
plt00013422,13422,0.051527703829280014,0.028816722917382593,0.05465000830073229,0.00677000092555427,-0.526276127378301,-0.5262761273783021,-0.5262761273782994,6.080941944488118e-16,64,64,59,57344,1.0
plt00013488,13488,0.04820830258229795,0.024283653727105777,0.051775735710572514,0.007297945817929375,-0.026673510883365444,-0.026673510883365913,-0.026673510883364802,2.470808976257316e-16,64,64,59,57344,1.0
plt00013574,13574,0.044306878294206486,0.019071115199056635,0.04850462388369415,0.007971398440929948,0.47458266177104447,0.4745826617710419,0.4745826617710471,1.2562464506136966e-15,64,64,59,57344,1.0
plt00013660,13660,0.04202854036515058,0.01611632502156866,0.046670845607136816,0.008402273619932272,0.9762103846956748,0.9762103846956012,0.9762103846957466,3.0623812831141055e-14,64,64,59,57344,1.0
plt00013745,13745,0.04057828224166988,0.014280150978643448,0.04554402622594334,0.008697882694430887,1.4776130702891723,1.4776130702891697,1.4776130702891752,1.3331347091275289e-15,64,64,59,57344,1.0
plt00013872,13872,0.03857718018096442,0.011813744691613835,0.044057536839409515,0.00914510217329157,1.9800595115954427,1.980059511595419,1.9800595115954656,9.587492582199802e-15,64,64,59,57344,1.0
plt00014048,14048,-0.06163747533051201,-0.06371663711497641,-0.04275776409325693,0.005366764531015497,2.547672013721553,2.547672013721431,2.547672013721637,4.878681777307438e-14,64,64,59,57344,1.0
plt00014079,14079,-0.06359769289443196,-0.06551192036714508,-0.045442579939266925,0.005130029396371944,3.0442875293685465,3.044287529368518,3.0442875293685727,1.22287173012491e-14,64,64,59,57344,1.0
plt00014108,14108,-0.0654292151775379,-0.06719741933259421,-0.04793945781274921,0.004919574313031892,3.5406548972316143,3.540654897231612,3.5406548972316174,1.464484751053976e-15,64,64,59,57344,1.0
plt00014135,14135,-0.06715173154107977,-0.06878904110564692,-0.05027630318709189,0.0047312848081276825,4.036814659533463,4.036814659533381,4.036814659533549,3.4917529019471726e-14,64,64,59,57344,1.0
plt00014160,14160,-0.068780452048279,-0.07029922529503832,-0.052475076977296246,0.004561987487178297,4.532797684149296,4.532797684149273,4.532797684149317,9.63018484609954e-15,64,64,59,57344,1.0
plt00014187,14187,-0.06715174498216721,-0.06878904570383808,-0.05027636774122467,0.004731269505260129,4.036814668597564,4.036814668597425,4.036814668597711,7.25586595371764e-14,64,64,59,57344,-1.0
plt00014216,14216,-0.06542922707913662,-0.06719742067067977,-0.04793952776674404,0.004919557022818812,3.5406549040944215,3.540654904094371,3.540654904094487,2.4161447779282906e-14,64,64,59,57344,-1.0
plt00014247,14247,-0.06359770466703692,-0.06551191790475272,-0.045442666258295204,0.005130007296477141,3.0442875346129608,3.0442875346128817,3.044287534613061,3.513399827568416e-14,64,64,59,57344,-1.0
plt00014281,14281,-0.061637493405821524,-0.06371664761785868,-0.04275783896986567,0.005366748034835189,2.5476720251304643,2.547672025130452,2.54767202513048,6.448857328792459e-15,64,64,59,57344,-1.0
plt00014318,14318,-0.05952241228201284,-0.061790807560794844,-0.03984873946123113,0.005635292711694693,2.0507533546232,2.0507533546231644,2.0507533546232413,1.911309477429992e-14,64,64,59,57344,-1.0
plt00014359,14359,-0.05721645778497124,-0.05970637871206461,-0.036666907365703015,0.00594329358124501,1.55345360772654,1.5534536077265213,1.5534536077265548,8.659784072051115e-15,64,64,59,57344,-1.0
plt00014405,14405,-0.05466809519365402,-0.05742436357753915,-0.03314578336491763,0.006301867024618304,1.0556563794492748,1.0556563794492737,1.0556563794492764,6.049187461416408e-16,64,64,59,57344,-1.0
plt00014459,14459,-0.05179946143111093,-0.054888195876221985,-0.029190277443518854,0.00672832969795443,0.5571753482466573,0.557175348246657,0.5571753482466577,1.6004645656917944e-16,64,64,59,57344,-1.0
plt00014524,14524,-0.048484563888819755,-0.05201220887538564,-0.024658261074812778,0.007252601357209382,0.05768246359836848,0.05768246359836832,0.057682463598368636,5.653176099740366e-17,64,64,59,57344,-1.0
plt00014609,14609,-0.04457237727850911,-0.048722536100385336,-0.019420329467657708,0.00792330334597244,-0.44344590292364844,-0.44344590292365577,-0.4434459029236388,3.349711055075834e-15,64,64,59,57344,-1.0
plt00014697,14697,-0.042114007282911474,-0.04673834003860169,-0.016225677914095276,0.008385444377620049,-0.9451458647594554,-0.9451458647595095,-0.945145864759397,2.2185513565306946e-14,64,64,59,57344,-1.0
plt00014781,14781,-0.04067269658317833,-0.04561624458425032,-0.014398524865001776,0.008678005349166129,-1.4465216496156514,-1.4465216496156543,-1.4465216496156488,1.279468816630226e-15,64,64,59,57344,-1.0
plt00014897,14897,-0.038847376281963754,-0.04425283005321267,-0.012141776266186838,0.00908143948629571,-1.9487013021735473,-1.9487013021735928,-1.948701302173509,1.8388440661570225e-14,64,64,59,57344,-1.0
plt00015091,15091,0.06137255803596015,0.04239402453023587,0.06347475341520277,0.005399660673705154,-2.517099136379711,-2.517099136379778,-2.517099136379636,3.4858837263912075e-14,64,64,59,57344,-1.0
plt00015123,15123,0.06333324180106055,0.045081097216973356,0.06526917674292022,0.00516127639682333,-3.0137832690681963,-3.013783269069496,-3.0137832690675936,3.555419424228881e-13,64,64,59,57344,-1.0
plt00015152,15152,0.06516520962891255,0.04758029147295536,0.06695401187424975,0.004949263738387215,-3.510215955078164,-3.5102159550783187,-3.510215955077975,7.565410312716766e-14,64,64,59,57344,-1.0
plt00015179,15179,0.06688814259036241,0.04991945262639524,0.06854510200686818,0.0047594868356746894,-4.006438299497653,-4.00643829949815,-4.00643829949721,1.8482432592284444e-13,64,64,59,57344,-1.0
plt00015205,15205,0.06851723545255477,0.0521204715997861,0.07005483812599175,0.004588764325351848,-4.502481614605463,-4.502481614605483,-4.502481614605445,8.980462215677118e-15,64,64,59,57344,-1.0
