plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00013142,13142,0.06851680877372972,0.0521202684228171,0.07005438442986797,0.00458870063657054,-4.502481260904854,-4.502481260904875,-4.502481260904833,1.0742232509672333e-14,64,64,59,57344,0.0
plt00013169,13169,0.06688775428020051,0.049919336305662546,0.06854467658323993,0.004759408033014184,-4.006437984781064,-4.006437984781097,-4.006437984781032,1.2216489778430634e-14,64,64,59,57344,1.0
plt00013198,13198,0.0651648432650634,0.047580195039414706,0.06695360645768818,0.004949184980251956,-3.5102156661978303,-3.5102156661979964,-3.5102156661977095,6.889535473265963e-14,64,64,59,57344,1.0
plt00013229,13229,0.06333289611305827,0.045081015755040005,0.06526879053558118,0.0051611987178051474,-3.013783003545382,-3.0137830035454436,-3.0137830035453357,2.3803865170981788e-14,64,64,59,57344,1.0
plt00013263,13263,0.0613722454232419,0.04239395656584076,0.06347440549610142,0.0053995884185537215,-2.5170989059802134,-2.517098905980234,-2.517098905980191,8.383470419494215e-15,64,64,59,57344,1.0
plt00013300,13300,0.05925668037889026,0.03948281028334408,0.061549697898118066,0.0056698886850629245,-2.0201076823357935,-2.0201076823358046,-2.0201076823357815,5.259809736590646e-15,64,64,59,57344,1.0
plt00013341,13341,0.05694997012132768,0.03629904335582846,0.059466566511976966,0.00597981095211689,-1.5227305940492135,-1.522730594049221,-1.5227305940492069,3.3720454314350868e-15,64,64,59,57344,1.0
plt00013388,13388,0.054399868693876474,0.032775531308397415,0.0571856011971831,0.006340634287377798,-1.0248499042536712,-1.024849904253743,-1.0248499042536088,3.303543186590261e-14,64,64,59,57344,1.0
plt00013442,13442,0.05152747032525701,0.028816614178156407,0.05464975064801213,0.006769960594010164,-0.526275978501433,-0.526275978501435,-0.5262759785014312,1.196793256849648e-15,64,64,59,57344,1.0
plt00013508,13508,0.04820809427546286,0.024283553303254955,0.051775504700506486,0.0072979099382072254,-0.026673378231397083,-0.026673378231397923,-0.026673378231396223,3.557748263491599e-16,64,64,59,57344,1.0
plt00013594,13594,0.04430669779052126,0.01907102663576999,0.04850442242992034,0.007971367140599338,0.47458278428540457,0.4745827842854021,0.4745827842854071,1.1602071308093434e-15,64,64,59,57344,1.0
plt00013680,13680,0.042028398458839385,0.0161162742693497,0.046670678919378934,0.008402240138490814,0.9762104845082136,0.9762104845082117,0.9762104845082155,7.939501689639862e-16,64,64,59,57344,1.0
plt00013765,13765,0.040578147101787344,0.014280101832517607,0.045543867076780674,0.008697850931694525,1.4776131676246682,1.4776131676246662,1.4776131676246702,8.697731210811853e-16,64,64,59,57344,1.0
plt00013892,13892,0.03857703033469835,0.011813669769951173,0.04405737078177945,0.009145078369731652,1.9800596405730584,1.9800596405730173,1.9800596405731123,1.9740029975053303e-14,64,64,59,57344,1.0
plt00014068,14068,-0.06163714013218182,-0.06371627520165186,-0.04275761224424499,0.005366710169694386,2.547671768765489,2.5476717687654715,2.547671768765501,6.349417795346998e-15,64,64,59,57344,1.0
plt00014099,14099,-0.06359733351383402,-0.06551153405863677,-0.04544241555404906,0.005129972332131253,3.0442872573459057,3.044287257345471,3.0442872573463484,1.9194204514043584e-13,64,64,59,57344,1.0
plt00014128,14128,-0.06542883180163586,-0.06719700892463425,-0.047939280180827236,0.0049195147585605415,3.54065459731528,3.5406545973152523,3.540654597315301,9.246398330768482e-15,64,64,59,57344,1.0
plt00014155,14155,-0.06715132432397784,-0.06878860684409416,-0.050276111642064504,0.004731222950253806,4.036814331024965,4.036814331024964,4.036814331024968,1.2362920382602608e-15,64,64,59,57344,1.0
plt00014180,14180,-0.06878002112518906,-0.07029876739485633,-0.05247487090898051,0.0045619234891955285,4.5327973264398675,4.532797326439799,4.532797326439937,2.9040132326423615e-14,64,64,59,57344,1.0
plt00014207,14207,-0.06715133775936873,-0.06878861143776932,-0.0502761761838639,0.004731207649395366,4.036814340082524,4.036814340082519,4.036814340082527,2.198129442157285e-15,64,64,59,57344,-1.0
plt00014236,14236,-0.06542884369761563,-0.0671970102584781,-0.04793935012226567,0.00491949747043915,3.5406546041728535,3.5406546041727993,3.540654604172908,2.3247245671746245e-14,64,64,59,57344,-1.0
plt00014267,14267,-0.06359734528039356,-0.06551153159195648,-0.04544250185876095,0.005129950234722375,3.0442872625814457,3.0442872625814377,3.0442872625814523,2.835419185914153e-15,64,64,59,57344,-1.0
plt00014301,14301,-0.06163715819228478,-0.06371628568979369,-0.042757687089420134,0.005366693678141846,2.5476717801576076,2.547671780157558,2.5476717801576574,2.0919456700862652e-14,64,64,59,57344,-1.0
plt00014338,14338,-0.05952210144653839,-0.06179047035027978,-0.03984859931227052,0.005635241306783544,2.050753135700833,2.050753135700825,2.050753135700841,3.740314841832019e-15,64,64,59,57344,-1.0
plt00014379,14379,-0.057216171566377476,-0.05970606661473859,-0.036666778109169657,0.005943245412678116,1.5534534135860392,1.5534534135860103,1.553453413586077,1.2465405690513866e-14,64,64,59,57344,-1.0
plt00014425,14425,-0.054667833862518264,-0.05742407706593755,-0.033145664127010796,0.006301822423695192,1.0556562083975307,1.0556562083974834,1.0556562083975698,2.001740888021135e-14,64,64,59,57344,-1.0
plt00014479,14479,-0.051799225267335124,-0.05488793551252816,-0.029190167348669343,0.006728289060999006,0.5571751978475661,0.5571751978475642,0.5571751978475674,7.023038222575547e-16,64,64,59,57344,-1.0
plt00014544,14544,-0.04848435313515711,-0.052011975354584274,-0.024658159353778294,0.0072525651929616205,0.05768232987647226,0.05768232987647013,0.05768232987647561,1.3267113655908544e-15,64,64,59,57344,-1.0
plt00014629,14629,-0.04457219404807429,-0.048722331957043445,-0.019420238838092768,0.0079232719160096,-0.443446026356788,-0.4434460263567897,-0.44344602635678576,8.868764227826485e-16,64,64,59,57344,-1.0
plt00014717,14717,-0.04211386494599888,-0.04673817288095361,-0.016225627048944844,0.008385410798039563,-0.9451459647914968,-0.9451459647915025,-0.9451459647914933,2.2090107967354844e-15,64,64,59,57344,-1.0
plt00014801,14801,-0.04067256102997322,-0.04561608496501873,-0.014398475627692512,0.008677973471253235,-1.4465217470430498,-1.4465217470430956,-1.4465217470429945,1.9402695887873004e-14,64,64,59,57344,-1.0
plt00014917,14917,-0.03884723222102598,-0.04425266754435178,-0.012141709249864342,0.009081413637741068,-1.9487014207652065,-1.948701420765219,-1.9487014207651951,5.699835703411056e-15,64,64,59,57344,-1.0
plt00015111,15111,0.06137222636274664,0.04239387476751439,0.06347439503078921,0.005399606632935242,-2.517098894280129,-2.5170988942802395,-2.5170988942799695,5.4946899244009166e-14,64,64,59,57344,-1.0
plt00015143,15143,0.06333288613102606,0.04508093510887632,0.0652687941380356,0.005161219652887548,-3.0137830002041235,-3.0137830002041452,-3.0137830002041,1.338359926521061e-14,64,64,59,57344,-1.0
plt00015172,15172,0.06516483014713213,0.04758011632345989,0.06695360534223703,0.0049492045007506775,-3.510215658618769,-3.510215658618893,-3.5102156586186632,4.921704570074931e-14,64,64,59,57344,-1.0
plt00015199,15199,0.06688773944526562,0.049919263768992285,0.06854467178804857,0.004759425290850414,-4.006437974722318,-4.006437974722362,-4.006437974722264,1.7587138213947747e-14,64,64,59,57344,-1.0
plt00015225,15225,0.06851680877372901,0.05212026842276506,0.07005438442982183,0.004588700636584024,-4.502481260903895,-4.502481260903937,-4.502481260903857,1.8851246957440818e-14,64,64,59,57344,-1.0
