plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00011462,11462,0.07722348129442867,0.058616014560023744,0.07902330723332007,0.005213857519415787,-4.510348118853361,-4.51034811885349,-4.510348118853229,6.376276733247971e-14,64,64,59,57344,0.0
plt00011488,11488,0.07564737607668347,0.05642478140683425,0.07757201863773569,0.005401596709718997,-4.014327008046328,-4.014327008046367,-4.014327008046286,1.7776400712721224e-14,64,64,59,57344,1.0
plt00011515,11515,0.07399210322312884,0.05410711408696185,0.07605363932029971,0.005608761486931489,-3.51814469227327,-3.5181446922732897,-3.5181446922732555,7.646849978880682e-15,64,64,59,57344,1.0
plt00011544,11544,0.07224668282514882,0.05164484262605782,0.07445961948711678,0.005838437022957001,-3.0217759995189235,-3.0217759995189506,-3.021775999518888,1.442595875741738e-14,64,64,59,57344,1.0
plt00011575,11575,0.07039742929308014,0.049015378025656135,0.0727794948412113,0.006094573013157271,-2.525188899446383,-2.5251888994463907,-2.5251888994463734,4.458896724740136e-15,64,64,59,57344,1.0
plt00011609,11609,0.06842692920953905,0.046190146200102894,0.07100023754813727,0.006382338812504617,-2.028341636259219,-2.028341636259247,-2.028341636259198,1.2160490259932719e-14,64,64,59,57344,1.0
plt00011645,11645,0.0663124806515499,0.04313239271631428,0.06910529054981969,0.00670865069503646,-1.5311780971896711,-1.531178097189678,-1.5311780971896634,3.4618892035899838e-15,64,64,59,57344,1.0
plt00011685,11685,0.06402369585836015,0.03979362871783402,0.06707326548286872,0.007083135850315069,-1.0336199129706232,-1.0336199129706438,-1.0336199129706045,8.484811824264144e-15,64,64,59,57344,1.0
plt00011729,11729,0.06151893800577953,0.03610923448814162,0.06487625606063278,0.007519600097858352,-0.53555194412751,-0.5355519441275175,-0.5355519441275021,3.0239887514580862e-15,64,64,59,57344,1.0
plt00011778,11778,0.05874102307647578,0.0319938084339708,0.06247916412212406,0.008038657473529495,-0.036794644303003644,-0.03679464430300653,-0.0367946443030011,1.0808621955338346e-15,64,64,59,57344,1.0
plt00011844,11844,0.0556183526901961,0.027348164331046428,0.05984718465185533,0.00867132831912841,0.4629479406006807,0.4629479406006612,0.46294794060070205,8.797956540108992e-15,64,64,59,57344,1.0
plt00011925,11925,0.05240931699859432,0.022583940835607472,0.05723394666943159,0.009386420909073653,0.9639863012516713,0.963986301251664,0.9639863012516795,3.160603334103746e-15,64,64,59,57344,1.0
plt00011998,11998,0.05119007760254451,0.02078561010813715,0.056272581578848034,0.009679437469378244,1.4647482688825746,1.4647482688825637,1.4647482688825868,4.608261487675305e-15,64,64,59,57344,1.0
plt00012071,12071,0.05002119291653028,0.019072058184041344,0.0553710610866834,0.00997389484297625,1.965682656937446,1.9656826569373071,1.9656826569375985,5.964555021095623e-14,64,64,59,57344,1.0
plt00012170,12170,0.047605314607091956,0.015577769492484923,0.05358477280489176,0.010635337240638126,2.4683074470780233,2.4683074470780144,2.46830744707803,3.407498561807733e-15,64,64,59,57344,1.0
plt00012482,12482,-0.07250686240520636,-0.0746967525805404,-0.05201301379462233,0.005803481972530128,3.0522510878783726,3.052251087876696,3.0522510878802014,6.996518124779291e-13,64,64,59,57344,1.0
plt00012509,12509,-0.07425332508341144,-0.07629285675215801,-0.05447390094470533,0.005575410338734075,3.548557546531131,3.5485575465307453,3.5485575465314194,1.4205766727769184e-13,64,64,59,57344,1.0
plt00012535,12535,-0.07590944712160853,-0.0778129834109842,-0.056790127056795994,0.005369755053494799,4.04467978201097,4.044679782010919,4.044679782011016,2.0267272597439194e-14,64,64,59,57344,1.0
plt00012559,12559,-0.07748628170751652,-0.0792657851013443,-0.05897994350564904,0.005183443948158742,4.540642672981835,4.540642672981211,4.540642672982253,2.3960253969722946e-13,64,64,59,57344,1.0
plt00012584,12584,-0.07590945278974462,-0.07781297667480092,-0.056790207279490475,0.005369733157802383,4.044679783443269,4.044679783443261,4.044679783443275,3.132324617386636e-15,64,64,59,57344,-1.0
plt00012611,12611,-0.0742533275540398,-0.07629284396959522,-0.05447399252312583,0.0055753843072109035,3.5485575426538176,3.548557542653805,3.5485575426538345,5.734868827995279e-15,64,64,59,57344,-1.0
plt00012640,12640,-0.07250687116988543,-0.07469675290002581,-0.05201309001717732,0.005803462633657325,3.0522510886860372,3.0522510886860346,3.0522510886860417,1.7867348644430382e-15,64,64,59,57344,-1.0
plt00012671,12671,-0.07065630497801378,-0.07301411906304395,-0.04938475319267171,0.0060579149675392225,2.5557287572183034,2.555728757218231,2.5557287572183833,3.518347388600674e-14,64,64,59,57344,-1.0
plt00012704,12704,-0.0686841026843505,-0.07123175585539694,-0.04656023983628123,0.0063438948299574865,2.0589492043312347,2.0589492043312054,2.0589492043312636,1.0910448111910265e-14,64,64,59,57344,-1.0
plt00012740,12740,-0.06656748554798134,-0.06933297385515745,-0.04350255367241063,0.006668315148493563,1.561856734684591,1.561856734684585,1.5618567346845982,2.707413778560237e-15,64,64,59,57344,-1.0
plt00012780,12780,-0.06427616521714664,-0.06729634285679709,-0.040163297841784254,0.007040714779172377,1.064373366003566,1.0643733660035632,1.0643733660035692,1.3985615651517371e-15,64,64,59,57344,-1.0
plt00012824,12824,-0.06176888879047155,-0.06509409883744384,-0.03647816407192772,0.0074747477064886405,0.5663847176916649,0.5663847176916512,0.5663847176916789,6.854250497129015e-15,64,64,59,57344,-1.0
plt00012873,12873,-0.058987954286753644,-0.0626903292466764,-0.03236054865350595,0.007990943005204825,0.06771357428575725,0.06771357428575085,0.06771357428576175,2.2223216045177475e-15,64,64,59,57344,-1.0
plt00012938,12938,-0.05585707125934921,-0.060045639077053944,-0.027703435146209276,0.008620944367035732,-0.43193335924075904,-0.43193335924087956,-0.43193335924067766,3.918469263674198e-14,64,64,59,57344,-1.0
plt00013019,13019,-0.05255554963127081,-0.05735054986686402,-0.02280022844228833,0.009352149025360383,-0.9329179761547373,-0.9329179761547556,-0.9329179761547197,7.585464759097328e-15,64,64,59,57344,-1.0
plt00013092,13092,-0.05126022769643842,-0.0563273419091528,-0.02088881019759764,0.009662207164637402,-1.4337076732110698,-1.4337076732110743,-1.4337076732110663,1.817513422402428e-15,64,64,59,57344,-1.0
plt00013164,13164,-0.050095955423653304,-0.05542807034782702,-0.019181301836208257,0.009954618688880324,-1.934625707010507,-1.9346257070105124,-1.934625707010499,2.8928447580800836e-15,64,64,59,57344,-1.0
plt00013257,13257,-0.04792248093917818,-0.053812417235681385,-0.01603199283432446,0.010543680670415558,-2.436914206022151,-2.4369142060221574,-2.436914206022144,2.819616784322031e-15,64,64,59,57344,-1.0
plt00013697,13697,0.07224667313342974,0.05164475233967084,0.07445962725286175,0.005838459066210301,-3.0217759992171245,-3.021776003242323,-3.0217759950045484,1.9386233196660783e-09,64,64,59,57344,-1.0
plt00013725,13725,0.07399210235084126,0.05410703138736635,0.0760536525192314,0.0056087853709657345,-3.518144698029121,-3.5181446980298965,-3.5181446980283293,4.0418129323950773e-13,64,64,59,57344,-1.0
plt00013751,13751,0.07564737263708035,0.05642471126753638,0.07757202639655383,0.005401616287900437,-4.014327009163496,-4.014327009163522,-4.014327009163468,1.072328321399778e-14,64,64,59,57344,-1.0
plt00013775,13775,0.07722348129446058,0.05861601456002833,0.0790233072333685,0.005213857519425826,-4.510348118852853,-4.510348118852929,-4.510348118852776,4.3285885799141776e-14,64,64,59,57344,-1.0
