plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00019262,19262,0.07061087515369041,-0.1745667431771803,0.17316249468353773,0.13639534973454107,-4.50025008838955,-4.5307995006892385,-4.460276505039636,0.02173782513481849,64,64,59,57344,0.0
plt00022265,22265,0.06576833879979045,-0.17587385651734402,0.17204732177057716,0.13855729024774457,-4.004758532931233,-4.034569567836207,-3.96578869490632,0.02124649476766246,64,64,59,57344,1.0
plt00024809,24809,0.061318389155949435,-0.17698232573207592,0.1709680948584916,0.14040957734356413,-3.50896099825481,-3.5378417738382275,-3.472203128498999,0.020811810903128943,64,64,59,57344,1.0
plt00024996,24996,0.0597470635724152,-0.17800106968843607,0.1700995506128,0.14065862556677783,-3.0129971813195358,-3.0420332696389987,-2.9763923856977668,0.020855324221197527,64,64,59,57344,1.0
plt00025148,25148,0.058206295611979965,-0.1789996566057144,0.16929292007152263,0.14084273179983753,-2.5170063670794884,-2.5462058605800286,-2.480580104730815,0.020896098275280866,64,64,59,57344,1.0
plt00025283,25283,0.056668287394687704,-0.17997418707597418,0.16847615574583272,0.1409769741591945,-2.0209642150171834,-2.0503408277632804,-1.984747957027676,0.020935950099586882,64,64,59,57344,1.0
plt00025410,25410,0.05511488651764961,-0.1809190281997974,0.16765283383002108,0.14106822235593383,-1.5248389565911324,-1.5544193707322262,-1.4888722530641212,0.020979609998160304,64,64,59,57344,1.0
plt00025546,25546,0.05352820615341271,-0.18182410924355175,0.16682831815162266,0.14112008135306806,-1.0285787545251601,-1.0584152069817672,-0.9929163668233704,0.021036670829134945,64,64,59,57344,1.0
plt00025749,25749,0.051882115609043024,-0.1826649526424429,0.16601222420070058,0.1411341934036488,-0.5320702885929811,-0.5622762343671004,-0.4968074779864965,0.021130625139117606,64,64,59,57344,1.0
plt00026633,26633,0.04599877020282556,-0.1832356091939199,0.16526906098795474,0.14304657458833095,-0.031710266082011745,-0.06049028133139928,0.002393986924120045,0.021187606370377383,64,64,59,57344,1.0
plt00027148,27148,0.040403334288280295,-0.1826365489593176,0.165410934552153,0.14474372191285576,0.4688681271964143,0.4363868145309101,0.5006718269335941,0.021575772204596885,64,64,59,57344,1.0
plt00027919,27919,0.035469854276750694,-0.18293176281955897,0.1651174545589286,0.14622524217621988,0.9711752209185355,0.9419862193647471,1.013623335128598,0.02184999043194362,64,64,59,57344,1.0
plt00028130,28130,0.034942780127966096,-0.18315307636498293,0.16489789784601172,0.1461931819701161,1.4702341609547356,1.4408557193274854,1.5123596579805259,0.02185823259126489,64,64,59,57344,1.0
