plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00000064,64,0.2672766035980765,0.18876574945962427,0.2748532372852622,0.020874287348627757,-5.13630459527843,-5.136304643761804,-5.136304539404967,2.2969570084074834e-08,64,64,59,65536,0.0
plt00000100,100,0.2625856636896916,0.1817256492240849,0.27058756726974664,0.02160259170698382,-4.143531881264374,-4.143531881276207,-4.143531881251393,6.148069508160486e-12,64,64,59,65536,1.0
plt00000138,138,0.2576368577463278,0.1742878480289025,0.266104298040167,0.02238893466485529,-3.1502438738057723,-3.150243873805804,-3.1502438738057448,1.2078236654557189e-14,64,64,59,65536,1.0
plt00000179,179,0.2523923742770082,0.1664007282910292,0.2613732001623038,0.023241540672221533,-2.1563587081720206,-2.1563587081720232,-2.156358708172019,1.1046579618885443e-15,64,64,59,65536,1.0
plt00000223,223,0.24680439640172824,0.15800033926971802,0.25635654622531867,0.024170923520548927,-1.1617716209543723,-1.161771620954373,-1.161771620954372,2.435541875787129e-16,64,64,59,65536,1.0
plt00000271,271,0.2408108409039593,0.14900594629075975,0.25100598481421244,0.025190825805561125,-0.16634474004427507,-0.16634474004428582,-0.1663447400442591,6.185655166150122e-15,64,64,59,65536,1.0
plt00000324,324,0.23432855276342746,0.1393129374699632,0.24525771779873082,0.026319823952983292,0.830109561611568,0.8301095616115602,0.8301095616115757,5.2532330597576065e-15,64,64,59,65536,1.0
plt00000383,383,0.22724170100030755,0.12878053692378788,0.23902455477133167,0.02758432642627357,1.8278577400596308,1.8278577400595628,1.8278577400596747,2.5049802949018373e-14,64,64,59,65536,1.0
plt00000450,450,0.21938049440530125,0.1172096461161676,0.2321818241166113,0.029024436667485068,2.827300016600465,2.827300016600437,2.8273000166004953,1.5701218976413876e-14,64,64,59,65536,1.0
plt00000528,528,0.21047826003748704,0.10429877675996813,0.2245402348403325,0.03070679604982013,3.8290854419744136,3.82908544197439,3.829085441974436,9.877553859063583e-15,64,64,59,65536,1.0
plt00000623,623,0.2000749153510047,0.08954651975630677,0.21578943802389158,0.032757156500145004,4.8343886614720635,4.834388661472053,4.834388661472078,5.02306908328248e-15,64,64,59,65536,1.0
plt00000703,703,0.2104782784468301,0.10429835326181336,0.22454037049141398,0.030706922652911986,3.829085461349349,3.829085461349328,3.8290854613493672,8.309817242156275e-15,64,64,59,65536,-1.0
plt00000772,772,0.2193805549066125,0.11720929816745064,0.2321819738530672,0.029024545083936048,2.827299902347359,2.8272999023473435,2.8272999023473786,7.763031564782529e-15,64,64,59,65536,-1.0
plt00000832,832,0.22724177794256456,0.1287801735164884,0.23902471757792432,0.02758444092993121,1.8278575821820826,1.8278575821820184,1.8278575821821705,3.6319058924243676e-14,64,64,59,65536,-1.0
plt00000885,885,0.2343286349444138,0.13931253719722245,0.24525788713498847,0.026319949124105874,0.8301093930996158,0.830109393099612,0.8301093930996203,1.7183256960599964e-15,64,64,59,65536,-1.0
plt00000934,934,0.24081091673993266,0.14900557671024417,0.25100613605865313,0.025190941343089288,-0.16634489498050764,-0.16634489498051006,-0.16634489498050517,1.0676373918720874e-15,64,64,59,65536,-1.0
plt00000979,979,0.2468044654000017,0.15799995931434385,0.2563566877681848,0.024171040548695438,-1.1617717585744947,-1.161771758574496,-1.1617717585744927,6.855121490028353e-16,64,64,59,65536,-1.0
plt00001020,1020,0.25239243596747646,0.16640032005516864,0.26137333500412707,0.023241663874299347,-2.156358827429586,-2.1563588274295893,-2.156358827429583,1.4163504615997217e-15,64,64,59,65536,-1.0
plt00001059,1059,0.25763690836210257,0.17428747532341776,0.26610441227951576,0.022389046105179194,-3.150243969382931,-3.150243969382935,-3.1502439693829283,1.3710242980056706e-15,64,64,59,65536,-1.0
plt00001095,1095,0.262585705865052,0.1817252695540299,0.2705876710607385,0.021602703280761717,-4.143531958339725,-4.143531958339741,-4.14353195833971,9.61737704039743e-15,64,64,59,65536,-1.0
plt00001129,1129,0.2672765844247933,0.18876576974386464,0.27485318672729037,0.020874282277144846,-5.136304552875997,-5.136304552876367,-5.136304552875705,1.3157693315091386e-13,64,64,59,65536,-1.0
