plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00020093,20093,0.10015215911377154,-0.24080172431087932,0.23674984608033484,0.17013100522286215,-4.503415580947097,-4.535032674454965,-4.4579039507977045,0.026140330556657616,64,64,59,65536,0.0
plt00022955,22955,0.08776456764185367,-0.24109602784479947,0.23702929753866026,0.17645562679923152,-4.0005059847147715,-4.032747939404737,-3.954836437471985,0.02666597259955971,64,64,59,65536,1.0
plt00026316,26316,0.07683024198106575,-0.2416999902808715,0.23599768904990853,0.18098216426235256,-3.49937041092411,-3.5301497484274993,-3.456161107112855,0.026788481126212366,64,64,59,65536,1.0
plt00027694,27694,0.06584382563205228,-0.2422727090559872,0.2377631158448241,0.18484954243565022,-2.9987460552650584,-3.0319452882503253,-2.9555578318369653,0.027010180301215193,64,64,59,65536,1.0
plt00030071,30071,0.051948734301218505,-0.24237163231932884,0.2368498381682313,0.1891047442907433,-2.4957005162363255,-2.5288953133777197,-2.455029135827762,0.027084511502931057,64,64,59,65536,1.0
plt00031578,31578,0.04068743240526444,-0.24239873080671745,0.2362799789185008,0.19155948521779192,-1.9945659376580078,-2.026312519756502,-1.9517806670876143,0.027167202416652523,64,64,59,65536,1.0
plt00033440,33440,0.0270051466428032,-0.24172396724591977,0.23872476824336064,0.19391741278166266,-1.4915457319275145,-1.5269080014932197,-1.4509853744862253,0.027396816709547783,64,64,59,65536,1.0
plt00034690,34690,0.016924795518430596,-0.24179159931201433,0.23757790617715127,0.1949330240715018,-0.9905479336520981,-1.0240845138488766,-0.9532060602909201,0.027297000660183125,64,64,59,65536,1.0
plt00035569,35569,0.008193988991976488,-0.24084282344406513,0.23714242350463072,0.19535319370678153,-0.489378373719093,-0.524815627645961,-0.4546767547424753,0.02731086782774013,64,64,59,65536,1.0
plt00037030,37030,0.002548397551207303,-0.24057081984198078,0.23741867697357966,0.1955379564896856,0.012559766588280457,-0.021470010645356214,0.04972548995132979,0.027389774678526695,64,64,59,65536,1.0
plt00037516,37516,0.0005247886407690125,-0.2407778742919473,0.23708661724343738,0.19549031202429676,0.512136912228708,0.47813720768753254,0.5490075149363504,0.0273683344348005,64,64,59,65536,1.0
plt00038889,38889,-0.014277875488913901,-0.24026229324417864,0.23968984291218412,0.19528872019053486,1.0189782201316753,0.9834149857759874,1.0541923037120218,0.027413837219714726,64,64,59,65536,1.0
plt00040164,40164,-0.024412398467235894,-0.23921905440784266,0.24133719513400684,0.19436289321475606,1.519765224666132,1.4822859423507257,1.554301243492764,0.02738651616857139,64,64,59,65536,1.0
plt00041394,41394,-0.03860437281415396,-0.23723123194050816,0.24055089675682714,0.19224935656379055,2.0232443921666254,1.9859317805430812,2.0565973949359173,0.027119624870714364,64,64,59,65536,1.0
plt00051721,51721,-0.05578819252912667,-0.2352114692656881,0.2421041612190966,0.18800398476100008,2.528932815479798,2.490537585632661,2.5603032159453676,0.026728940386589423,64,64,59,65536,1.0
plt00052832,52832,-0.06477086834076953,-0.23661935502485276,0.24063945732421843,0.18553586314423587,3.027180147622808,2.9876717931208026,3.0585556785771426,0.026891649239270742,64,64,59,65536,1.0
plt00055558,55558,-0.07840978499750356,-0.23621367861765522,0.24182563027483236,0.18049392612695075,3.5303659679671764,3.4860790588593558,3.558576303626676,0.026599999448870485,64,64,59,65536,1.0
plt00057377,57377,-0.09096263962811582,-0.23611191350795604,0.24094437710855104,0.1748562070297886,4.032895595947119,3.9897849806801204,4.060817345111024,0.02614482281066461,64,64,59,65536,1.0
plt00062509,62509,-0.10375406213689028,-0.23444407482751045,0.24006072174890308,0.16807007266374024,4.536601478405222,4.494258876307886,4.563348685724461,0.02517045946862513,64,64,59,65536,1.0
plt00064526,64526,-0.09096333318852154,-0.23611249445103766,0.24094471405161877,0.17485580958163707,4.032896214294796,3.98978497544943,4.060817703760013,0.02614482885062997,64,64,59,65536,-1.0
plt00065657,65657,-0.07840992079756785,-0.236213664509645,0.24182563851947178,0.1804938537701639,3.5303659808139334,3.4860790311851395,3.5585762873795126,0.026600017822928004,64,64,59,65536,-1.0
plt00066691,66691,-0.0691793990309164,-0.2348896803181047,0.24270823406649586,0.18358827527785931,3.031106628658443,2.9892835401789153,3.059535330098935,0.026550957269896338,64,64,59,65536,-1.0
plt00075729,75729,-0.055788160632612036,-0.23521141308014482,0.24210407170026974,0.18800398624517095,2.5289327228167586,2.4905376025307286,2.5603027460986465,0.026728944389386597,64,64,59,65536,-1.0
plt00077011,77011,-0.04156921843086191,-0.23709482256696426,0.24251680455749167,0.19145939727812494,2.0253582992232273,1.9868431085074594,2.057237185759063,0.027093903068126715,64,64,59,65536,-1.0
plt00077900,77900,-0.027661378780019282,-0.2368715248639685,0.2413433929978081,0.1939515425376515,1.5224574029239588,1.4835462781273403,1.5543040544282907,0.027192557575266663,64,64,59,65536,-1.0
plt00078638,78638,-0.020408222284351088,-0.2357317774012329,0.2420007477144378,0.19439994980448136,1.0233619139460775,0.9856854150295291,1.0553399895500775,0.027163035255651252,64,64,59,65536,-1.0
plt00079430,79430,-0.0024283998752180763,-0.24066647908744151,0.23992187368870338,0.19559073943193364,0.514877953384345,0.4791807883067276,0.5502684141134736,0.027506075767513988,64,64,59,65536,-1.0
plt00079828,79828,-4.4663136652686036e-05,-0.24036236900038901,0.24034841055511125,0.19558320388110423,0.015484208739515557,-0.020143732868334388,0.05110689649692461,0.027528920654485155,64,64,59,65536,-1.0
plt00080283,80283,0.002130708690810796,-0.23997713800275794,0.2406321514624541,0.19559015500861954,-0.48396119774728613,-0.5193855789959667,-0.4482680807813807,0.027510689468122844,64,64,59,65536,-1.0
