plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00017641,17641,0.1016797463038635,-0.3786017236179455,0.375510311653647,0.3069102929632998,-4.506112002133641,-4.570709563969281,-4.433772468369291,0.04419247036958695,64,64,59,65536,0.0
plt00019509,19509,0.09364761369960113,-0.37994714051671075,0.3739463541687774,0.30930340704222936,-4.010444081163303,-4.074116738715404,-3.94035218734968,0.043622898163233954,64,64,59,65536,1.0
plt00020163,20163,0.08814339777748048,-0.38097519283700554,0.37264387031081864,0.31063116890847076,-3.5140375836157713,-3.577712975000013,-3.4456029271199182,0.04346628520767057,64,64,59,65536,1.0
plt00021023,21023,0.07586012224818346,-0.3812154100964349,0.3714827499502576,0.3138816840719901,-3.0115685789606794,-3.071637585395595,-2.946492645816037,0.04280714787609022,64,64,59,65536,1.0
plt00021296,21296,0.07178728921725216,-0.3821961199482196,0.370311460688561,0.31440941726942934,-2.5147383699957873,-2.5752575767209342,-2.4503021274091576,0.042826799833321716,64,64,59,65536,1.0
plt00023826,23826,0.05956473207776629,-0.38283022591857546,0.36974340940418665,0.31686008135794835,-2.011700638314382,-2.0687381372246683,-1.9461393759624253,0.042797515059656156,64,64,59,65536,1.0
plt00024471,24471,0.048226795487598596,-0.3810261875457449,0.37145886073350975,0.3188706694279295,-1.5093812433383975,-1.5716796665347674,-1.4463969023449144,0.04309834520306006,64,64,59,65536,1.0
plt00024985,24985,0.04429674799676287,-0.3819171472141259,0.37038579414423645,0.3189251957280545,-1.0118526669948038,-1.0744021755438775,-0.9495593202868795,0.04307844368999614,64,64,59,65536,1.0
plt00025571,25571,0.0326307131809466,-0.38253231087146067,0.36964145163725876,0.32024161495638725,-0.5083383597210231,-0.5650535835723488,-0.43553553757012126,0.04323221753520119,64,64,59,65536,1.0
plt00026429,26429,0.022239314966337024,-0.38186557339941307,0.37190140797699384,0.3212188712422128,-0.005107303773637694,-0.06766041370034458,0.06169421142656149,0.04374825100376295,64,64,59,65536,1.0
plt00027355,27355,0.012302218913357942,-0.3820640999029821,0.37147706910748096,0.32196558862627705,0.49940725497637783,0.4416039639304597,0.5637732266844303,0.04344267407905104,64,64,59,65536,1.0
