plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00004781,4781,0.08862676779164577,-0.24677980915088496,0.24520588281406638,0.19980366275065198,-4.497317729834332,-4.541780002685424,-4.439850892956996,0.03159741374756691,64,64,59,65536,0.0
plt00005350,5350,0.08406996039060691,-0.2477716361334685,0.24363454108943322,0.2014605669544885,-4.002990689459864,-4.0455737870228585,-3.946727262679006,0.030372662328653578,64,64,59,65536,1.0
plt00005980,5980,0.07865256281765616,-0.24880812218072954,0.2421471239536859,0.2034022434101379,-3.508752444980373,-3.5499760939996685,-3.454017663260688,0.02949536846053508,64,64,59,65536,1.0
plt00006622,6622,0.07307569573906313,-0.24984225242660393,0.24070608050341286,0.20531494663542882,-3.0142532579949735,-3.054616596067279,-2.9612909520926487,0.02889460992055939,64,64,59,65536,1.0
plt00006866,6866,0.07017989503902725,-0.25097980824554306,0.23982960873440826,0.20603902231096222,-2.5191670551639196,-2.5594216880736482,-2.4676350938875777,0.028765538816886527,64,64,59,65536,1.0
plt00006905,6905,0.06853832251510085,-0.2521003307500188,0.23893425927771025,0.2061746046727417,-2.0239535321888438,-2.064417834663223,-1.972665742725363,0.028788664223609185,64,64,59,65536,1.0
plt00006942,6942,0.06689582887346446,-0.2531961233909372,0.23803208085795305,0.20627133613703205,-1.528689315199793,-1.5693709603560055,-1.4776638870025482,0.02880707521050212,64,64,59,65536,1.0
plt00006978,6978,0.065247317114726,-0.2542636272527857,0.23712600086621416,0.2063295857401254,-1.033345672386389,-1.074256026662168,-0.9825797405222999,0.0288237150612639,64,64,59,65536,1.0
plt00007015,7015,0.06359081190927193,-0.25529517911521105,0.23624016495067607,0.2063488331738629,-0.5378743231397849,-0.579035389099644,-0.48734990390190647,0.02884367531899291,64,64,59,65536,1.0
plt00007054,7054,0.0619283389571683,-0.2562775546562697,0.23537922988065482,0.20632792739088132,-0.04220685209158686,-0.0836669754646055,0.008066643806732365,0.028874363923253203,64,64,59,65536,1.0
plt00007099,7099,0.06025873702928426,-0.2571890530390462,0.23454885098765163,0.20626777590683107,0.4537481215867666,0.41189612548317794,0.5037068644240046,0.02892515164082055,64,64,59,65536,1.0
plt00007155,7155,0.05857921702856196,-0.2579810743044689,0.23377364263043832,0.20617106199695018,0.950151330033604,0.9077155342617794,0.999623807415002,0.02901390995764521,64,64,59,65536,1.0
plt00007508,7508,0.05149748671872342,-0.2568413569533631,0.23490165171073646,0.20836889032550074,1.452282252266978,1.4043596663705644,1.5001359241621703,0.03004523120533088,64,64,59,65536,1.0
plt00007882,7882,0.04470760070196408,-0.25656492397846775,0.23483815622919757,0.21032053731247183,1.9557190950132428,1.9090569468448253,1.9991717530947632,0.029641100376375146,64,64,59,65536,1.0
plt00007930,7930,0.04354183508197224,-0.2571073661868141,0.2342992351764369,0.21027070512640378,2.4531524251164547,2.406232072622938,2.4961720274978543,0.029623311432878777,64,64,59,65536,1.0
plt00008002,8002,0.04194978905107756,-0.25784108488449614,0.23359672636830667,0.21018448498225573,2.9502405885458884,2.903233046639762,2.992302938178565,0.029546039062442835,64,64,59,65536,1.0
