plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00018974,18974,0.10380967188678888,-0.24257782694032473,0.23986986921774694,0.17077477363852941,-4.504455946588128,-4.540724127068135,-4.455863695882159,0.02769147780877607,64,64,59,65536,0.0
plt00020011,20011,0.09287573581710762,-0.24283952938342412,0.23864482494142822,0.17661325871271236,-4.0041224958249355,-4.038128241648622,-3.954127920188242,0.027534854258700076,64,64,59,65536,1.0
plt00021586,21586,0.08194543570474841,-0.24373334031826374,0.2389863316619941,0.18153593378260488,-3.503337431726897,-3.540160431626706,-3.458302457840975,0.027901021147664812,64,64,59,65536,1.0
plt00022854,22854,0.0682654757516051,-0.24409577516785555,0.24042343628346394,0.1869307071886466,-3.0000745102283517,-3.0378532936433533,-2.9537394457411823,0.02832178468332806,64,64,59,65536,1.0
plt00024723,24723,0.05414898844575927,-0.24456877905168278,0.2392702566125717,0.19128158980731752,-2.4960588482798522,-2.529028675448433,-2.448207588510108,0.028532870850562327,64,64,59,65536,1.0
plt00025330,25330,0.042181931405561465,-0.24400496884388814,0.23933487204594064,0.19426239905746853,-1.9960001995535552,-2.031048737578515,-1.952332125541993,0.028229318972039553,64,64,59,65536,1.0
plt00027117,27117,0.031277338006349534,-0.24462573075586383,0.23910579989195208,0.19605602612284295,-1.4944994951825048,-1.527837700207884,-1.452742700250136,0.02836467282146877,64,64,59,65536,1.0
plt00027761,27761,0.014258124375055484,-0.24316119024527955,0.2426394556474157,0.19811768165696098,-0.9883733188502841,-1.0301601111891656,-0.9489984656960622,0.02886434930644508,64,64,59,65536,1.0
plt00028499,28499,0.005624923634446437,-0.24277132302431437,0.24180567297904465,0.19850928232701068,-0.48706477916280577,-0.5250936406911888,-0.4449516911700409,0.02868610278546024,64,64,59,65536,1.0
plt00029055,29055,0.0030556852860602404,-0.24319456795611197,0.24141897173876886,0.19844965252056873,0.011963676718733024,-0.026342152550897533,0.05371019369621606,0.028689829803098227,64,64,59,65536,1.0
plt00029914,29914,-0.002188695533356216,-0.242524402965893,0.24112209103929264,0.19860571035526503,0.5145559065289105,0.4774480044264648,0.5554185303687842,0.02855020979897621,64,64,59,65536,1.0
plt00031405,31405,-0.010557619061625972,-0.24263062187821052,0.24137478972249435,0.19845218311043497,1.0158635818465602,0.9777347447441975,1.0530778955201094,0.028424897526119704,64,64,59,65536,1.0
plt00032316,32316,-0.024442203926547314,-0.24127652536274352,0.2428196882522514,0.1973412364342026,1.5198707752008715,1.480987166339842,1.5556686820393668,0.02832720176876016,64,64,59,65536,1.0
plt00034362,34362,-0.03921514447793133,-0.2400908364401077,0.24256501190317314,0.19505022783511086,2.0235902482194796,1.9847168313632884,2.0580392213286696,0.028088115695973442,64,64,59,65536,1.0
plt00037031,37031,-0.057588752899814556,-0.2383430325216988,0.24383040005705622,0.19045616716936314,2.5301926583373158,2.489989592505898,2.56249489023608,0.027648872831719438,64,64,59,65536,1.0
plt00038138,38138,-0.06666753984167684,-0.23955569120358186,0.24230499694681218,0.18774484064028735,3.0274118961080694,2.986106983317571,3.0599347703278816,0.02792288367793186,64,64,59,65536,1.0
