plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00001215,1215,0.03613371237609411,0.03570832442957347,0.039425122393460625,0.0010948517214149735,-4.369244845548925,-4.369244845558096,-4.3692448455462705,1.654759283205568e-12,64,64,16,65536,0.0
plt00001224,1224,0.035268170969856696,0.03486639716704921,0.03841451929285515,0.0010337768382946881,-3.884541378212938,-3.884541378221069,-3.8845413782105895,1.4641743840367427e-12,64,64,16,65536,1.0
plt00001234,1234,0.034329833836545656,0.03395472064519617,0.03731367259000603,0.000965448900071519,-3.3998031320588016,-3.399803132065895,-3.399803132056759,1.2741379503804812e-12,64,64,16,65536,1.0
plt00001245,1245,0.03330287685841547,0.03295833355676257,0.03610207867211839,0.000888072273051762,-2.9150212969383826,-2.915021296944441,-2.9150212969366445,1.084798464373023e-12,64,64,16,65536,1.0
plt00001258,1258,0.03216517781160626,0.03185638204702574,0.03475083469208882,0.0007991950010165895,-2.430183298671352,-2.430183298676378,-2.430183298669917,8.963874408208836e-13,64,64,16,65536,1.0
plt00001273,1273,0.030884409045088233,0.030618530513108894,0.03321715754536065,0.000695441775773743,-1.9452699513135516,-1.9452699513175498,-1.945269951312417,7.092688960825628e-13,64,64,16,65536,1.0
plt00001292,1292,0.029409927603862393,0.02919748591855563,0.03143320304418895,0.0005726029279539207,-1.4602501513604844,-1.4602501513634614,-1.460250151359647,5.240914225089729e-13,64,64,16,65536,1.0
plt00001316,1316,0.027654873966947824,0.02751271883715551,0.029280505039189154,0.0004290396557462694,-0.9750676119532453,-0.975067611955212,-0.9750676119527,3.4200110252119843e-13,64,64,16,65536,1.0
plt00001350,1350,0.025445776923304866,0.02489499724737799,0.026517377844415935,0.00030414797103859784,-0.4896030826645794,-0.48960308266555613,-0.48960308266431607,1.6577607139052703e-13,64,64,16,65536,1.0
plt00001418,1418,0.02232254997885434,0.020489437704404288,0.022481793281028787,0.00047604436381504077,-0.0035119231264109574,-0.0035119231264493533,-0.0035119231263890474,5.846572490597834e-15,64,64,16,65536,1.0
plt00002334,2334,0.013690217441236698,0.006799717346698815,0.014813083987845662,0.002191708117904103,0.4876320372391739,0.48763203723817433,0.48763203723952747,2.1820759414484e-13,64,64,16,65536,1.0
plt00002393,2393,-0.027654743748467957,-0.029280428931455188,-0.02751257729354071,0.00042905557848709565,0.9750676895425842,0.9750676895420389,0.9750676895445509,3.420016869146631e-13,64,64,16,65536,1.0
plt00002413,2413,-0.02940983113624521,-0.031433154885241024,-0.02919738018659446,0.0005726187082183996,1.4602502346798412,1.4602502346790038,1.4602502346828183,5.240867476057358e-13,64,64,16,65536,1.0
plt00002429,2429,-0.030884304266006496,-0.033217111951283254,-0.03061841392720002,0.0006954621019601738,1.9452700709192086,1.9452700709180741,1.945270070923207,7.092703881702302e-13,64,64,16,65536,1.0
plt00002443,2443,-0.03216511949418635,-0.0347508121782409,-0.03185631633815858,0.0007992076489070442,2.4301833830214545,2.4301833830200192,2.4301833830264807,8.963903226614408e-13,64,64,16,65536,1.0
plt00002455,2455,-0.03330282859398459,-0.036102061883181914,-0.03295827866029411,0.000888083585257858,2.915021383852154,2.9150213838504158,2.915021383858212,1.0847964542854585e-12,64,64,16,65536,1.0
plt00002465,2465,-0.034329800153778706,-0.037313661921079225,-0.033954682005470825,0.0009654572682317904,3.3998032076036484,3.399803207601606,3.3998032076107423,1.2741349628257595e-12,64,64,16,65536,1.0
plt00002474,2474,-0.035268154096712884,-0.03841451438547437,-0.03486637764758661,0.001033781225892478,3.8845414259869404,3.884541425984592,3.8845414259950717,1.4641780271775055e-12,64,64,16,65536,1.0
