plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00000108,108,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000109,109,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000110,110,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000111,111,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000112,112,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000113,113,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000114,114,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000115,115,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000116,116,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000117,117,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000118,118,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000119,119,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000120,120,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000121,121,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000122,122,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000123,123,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000124,124,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000125,125,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000126,126,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000127,127,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000128,128,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000129,129,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000130,130,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000131,131,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000132,132,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000133,133,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000134,134,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000135,135,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000136,136,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000137,137,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000138,138,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000139,139,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000140,140,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000141,141,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000142,142,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000143,143,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
plt00000144,144,,,,,0.0,0.0,0.0,0.0,64,64,16,65536,0.0
