plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00002096,2096,0.10056657618918415,0.09972612951983716,0.10884274651920521,0.0022807151144943337,-4.3854698186592636,-4.385469818667978,-4.385469818656862,1.5091661756993165e-12,64,64,16,65536,0.0
plt00002111,2111,0.09801557002750438,0.09724444312293876,0.10596187470879169,0.002148081418859183,-3.9002483226980225,-3.9002483227057154,-3.9002483226959184,1.3241723132317153e-12,64,64,16,65536,1.0
plt00002128,2128,0.09519678140646345,0.09450450869381985,0.1027734698895141,0.0020094820870494847,-3.4149307579147132,-3.414930757921389,-3.414930757912905,1.1404847500246514e-12,64,64,16,65536,1.0
plt00002148,2148,0.09203823675989847,0.09143705488972162,0.09919450567277725,0.0018681693587411364,-2.929490884961457,-2.92949088496712,-2.929490884959941,9.585120621990534e-13,64,64,16,65536,1.0
plt00002172,2172,0.0884324678143199,0.08784690756777479,0.09510127748979649,0.0017317654900639076,-2.4438901222432525,-2.44389012224791,-2.4438901222420246,7.788841610182259e-13,64,64,16,65536,1.0
plt00002201,2201,0.08420785500915444,0.08254337558675946,0.09029681634699437,0.0016165834521705133,-1.9580679850291818,-1.9580679850328448,-1.9580679850282374,6.025709171970646e-13,64,64,16,65536,1.0
plt00002239,2239,0.07906193992470725,0.07611785499130465,0.08443590738492901,0.0015542810329476195,-1.4719212608113514,-1.4719212608140357,-1.471921260810682,4.3127354615800295e-13,64,64,16,65536,1.0
plt00002293,2293,0.07237331563225632,0.06790546606676393,0.07681609834821665,0.0015948492435791882,-0.9852490758829531,-0.9852490758846847,-0.9852490758825446,2.6828411527711476e-13,64,64,16,65536,1.0
plt00002389,2389,0.06243380419707894,0.05623981586636541,0.06554348827553452,0.0017786996362182212,-0.497555492157711,-0.49755549215853967,-0.4975554921575134,1.2104629395349926e-13,64,64,16,65536,1.0
plt00003112,3112,0.035751905628263726,0.029486188322362574,0.036381312627945125,0.0016858750186005901,-0.005927946742073939,-0.0059279467421221805,-0.005927946742043265,9.635812663722786e-15,64,64,16,65536,1.0
plt00003285,3285,-0.062433290088208346,-0.06554301199527193,-0.056239330563789304,0.0017786979955649678,0.4975554605924726,0.4975554605922749,0.49755546059330125,1.2104483254478007e-13,64,64,16,65536,1.0
plt00003344,3344,-0.07237279742638972,-0.07681566351170889,-0.0679049707289216,0.0015948612419976204,0.985249110754638,0.9852491107542295,0.9852491107563695,2.6827746633191044e-13,64,64,16,65536,1.0
plt00003384,3384,-0.07906146522596336,-0.08443554406349786,-0.07611741301381307,0.001554303873512763,1.4719213541624074,1.471921354161738,1.4719213541650917,4.312653867798204e-13,64,64,16,65536,1.0
plt00003415,3415,-0.08420746329510721,-0.09029654062309264,-0.08254302713017972,0.0016166114522563621,1.958068112476394,1.9580681124754493,1.958068112480057,6.025644255544145e-13,64,64,16,65536,1.0
plt00003440,3440,-0.08843216724280348,-0.09510108147143988,-0.08784665448253576,0.0017317933171728645,2.443890259239523,2.4438902592382945,2.44389025924418,7.788795354579657e-13,64,64,16,65536,1.0
plt00003461,3461,-0.09203798181061124,-0.09919435064126271,-0.09143678127719691,0.0018681977544774207,2.9294910356616546,2.9294910356601385,2.9294910356673176,9.585046815916144e-13,64,64,16,65536,1.0
plt00003479,3479,-0.09519655879678962,-0.10277334298277548,-0.09450426748326146,0.0020095106058891647,3.4149309215555754,3.414930921553767,3.414930921562251,1.1404746751041015e-12,64,64,16,65536,1.0
plt00003495,3495,-0.09801541303431538,-0.1059617904188996,-0.09724427151963236,0.0021481038798385177,3.9002484628083325,3.9002484628062284,3.900248462816026,1.3241528927260296e-12,64,64,16,65536,1.0
plt00003509,3509,-0.10056657618918415,-0.10884274651920521,-0.09972612951983716,0.0022807151144943337,4.3854698186592636,4.385469818656862,4.385469818667978,1.5091661756993165e-12,64,64,16,65536,1.0
plt00003524,3524,-0.09801557002750438,-0.10596187470879169,-0.09724444312293876,0.002148081418859183,3.9002483226980225,3.9002483226959184,3.9002483227057154,1.3241722026578659e-12,64,64,16,65536,-1.0
plt00003541,3541,-0.09519678140646345,-0.1027734698895141,-0.09450450869381985,0.002009482087049485,3.4149307579147132,3.414930757912905,3.414930757921389,1.140484386469848e-12,64,64,16,65536,-1.0
plt00003561,3561,-0.09203823675989847,-0.09919450567277725,-0.09143705488972162,0.0018681693587411364,2.929490884961457,2.929490884959941,2.92949088496712,9.585122170149353e-13,64,64,16,65536,-1.0
plt00003585,3585,-0.0884324678143199,-0.09510127748979649,-0.08784690756777479,0.0017317654900639076,2.4438901222432525,2.4438901222420246,2.44389012224791,7.788847136925329e-13,64,64,16,65536,-1.0
plt00003614,3614,-0.08420785500915444,-0.09029681634699437,-0.08254337558675946,0.0016165834521705133,1.9580679850291818,1.9580679850282374,1.9580679850328448,6.025709818399636e-13,64,64,16,65536,-1.0
plt00003652,3652,-0.07906193992470725,-0.08443590738492901,-0.07611785499130465,0.0015542810329476195,1.4719212608113514,1.471921260810682,1.4719212608140357,4.312731192666288e-13,64,64,16,65536,-1.0
plt00003706,3706,-0.07237331563225632,-0.07681609834821665,-0.06790546606676393,0.0015948492435791882,0.9852490758829531,0.9852490758825446,0.9852490758846847,2.6828390789686286e-13,64,64,16,65536,-1.0
plt00003802,3802,-0.06243380419707894,-0.06554348827553452,-0.05623981586636541,0.0017786996362182212,0.497555492157711,0.4975554921575134,0.49755549215853967,1.21046398995077e-13,64,64,16,65536,-1.0
