folder,design,seed,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent,landau_ps_estimate,landau_ec_estimate
MFIS_t_5_nomi_11_var_1,LHS,2650978,-8.855915727669e+09,5.419134675096e+10,1.452725835598e+11,-4.775099702483865,29.02701607371427,-3.151610960133344,0.35059543370870416,1298936342.874723
MFIS_t_5_nomi_11_var_2,LHS,2650978,-8.065695006752e+09,5.304004871751e+10,1.805066749743e+11,-13.272096701591396,26.285830279785728,20.337783316199996,0.33242734712410793,1131410284.3891473
MFIS_t_5_nomi_11_var_3,LHS,2650978,-8.302329327298e+09,5.042491495405e+10,1.272373973764e+11,-10.727641641956986,20.059321319166678,-15.175068415733339,0.3537447162809445,1225419754.5111659
MFIS_t_5_nomi_11_var_4,LHS,2650978,-7.969078289763e+09,4.329229345086e+10,1.851024962608e+11,-14.31098613158065,3.076889168714292,23.401664173866664,0.3481867741502511,1198061228.9108725
MFIS_t_5_nomi_11_var_5,LHS,2650978,-9.638845349447e+09,3.670275878958e+10,2.449168104330e+11,3.643498381150545,-12.612479072428561,63.277873621999994,0.37031359654162926,1613408068.8032193
MFIS_t_5_nomi_11_var_6,LHS,2650978,-9.663949062833e+09,5.117831008374e+10,1.539684724614e+11,3.91343078315054,21.853119246999995,2.6456483075999904,0.3666708193800141,1502681784.8547807
MFIS_t_5_nomi_11_var_7,LHS,2650978,-8.714848471266e+09,4.745345422152e+10,2.038200297256e+11,-6.2919519218709645,12.984414813142852,35.880019817066675,0.3476848786226265,1308456230.041406
MFIS_t_5_nomi_11_var_8,LHS,2650978,-1.061972532686e+10,3.364536337038e+10,5.857263600657e+10,14.19059491247312,-19.891991975285716,-60.95157599562,0.47581788103627826,2139024756.3073277
MFIS_t_5_nomi_11_var_9,LHS,2650978,-9.841551771424e+09,3.907012294086e+10,1.747439318920e+11,5.8231373271397935,-6.9758977598571414,16.495954594666664,0.3879925615600535,1682899408.1350305
MFIS_t_5_nomi_11_var_10,LHS,2650978,-9.949982501858e+09,4.597172158051e+10,1.565407888925e+11,6.989059159763444,9.456479953595242,4.360525928333336,0.3806853393620561,1629450930.963755
