folder,design,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent,landau_ps_estimate,landau_ec_estimate
MFIS_t_8_nomi_1_var_1,LHS,-7.878770726803e+09,1.782934002212e+11,1.164093730634e+11,-1.5153659149624965,18.862266814133342,-22.393751291066664,0.20732488827327036,634476599.4113375
MFIS_t_8_nomi_1_var_2,LHS,-8.758174052625e+09,1.624096569886e+11,4.629351562095e+10,9.477175657812499,8.273104659066677,-69.13765625270001,0.23048223841457127,780836727.4263867
MFIS_t_8_nomi_1_var_3,LHS,-8.064357508010e+09,1.253782910596e+11,7.362419655454e+10,0.8044688501249952,-16.41447262693333,-50.91720229697334,0.24911577974473595,782381523.0488532
MFIS_t_8_nomi_1_var_4,LHS,-7.375958261622e+09,1.294659493435e+11,1.031311790635e+11,-7.800521729725007,-13.68936710433334,-31.24588062433333,0.23366136370019525,672667274.1614485
MFIS_t_8_nomi_1_var_5,LHS,-9.066965424270e+09,1.574627302923e+11,2.186133834850e+11,13.337067803375003,4.975153528199994,45.74225565666667,0.23150355228014746,826852579.7092621
MFIS_t_8_nomi_1_var_6,LHS,-8.963165147493e+09,1.678408255995e+11,1.307313204018e+11,12.03956434366249,11.893883733,-12.845786398799996,0.2266032349920909,791870530.3684341
MFIS_t_8_nomi_1_var_7,LHS,-8.840337846668e+09,1.201804349891e+11,7.854175463119e+10,10.504223083349995,-19.87971000726666,-47.63883024587333,0.26519166113455483,915698567.5357872
MFIS_t_8_nomi_1_var_8,LHS,-8.172077589566e+09,1.395974645749e+11,2.001508071309e+11,2.1509698695749924,-6.9350236167333374,33.43387142059999,0.2330474437314378,750967302.5744314
MFIS_t_8_nomi_1_var_9,LHS,-7.672140455516e+09,1.092252872253e+11,1.864918950840e+11,-4.0982443060500025,-27.183141849799995,24.327930056000003,0.2517583212942883,768158932.6529841
MFIS_t_8_nomi_1_var_10,LHS,-8.385605357880e+09,1.545936341012e+11,2.408807134309e+11,4.820066973499992,3.062422734133352,60.58714228726667,0.22427780771824218,741700224.4804465
