folder,gpu,status,return_code,started_at,ended_at,elapsed_seconds,alpha,beta,gamma
MFIS_t_6_nomi_4_var_2,1,simulation_ok,0,2026-07-23T05:45:34.161259+00:00,2026-07-23T08:46:34.272658+00:00,10860.111,-9.186683152771e+09,2.556410530814e+10,1.523701631309e+11
MFIS_t_6_nomi_4_var_1,0,simulation_ok,0,2026-07-23T05:45:34.160462+00:00,2026-07-23T09:05:34.427293+00:00,12000.267,-9.322404448513e+09,4.316237801297e+10,1.193574933918e+11
MFIS_t_6_nomi_4_var_4,0,simulation_ok,0,2026-07-23T09:05:34.573805+00:00,2026-07-23T14:41:34.782197+00:00,20160.208,-8.619127931754e+09,3.647292486094e+10,1.921512393720e+11
MFIS_t_6_nomi_4_var_3,1,simulation_ok,0,2026-07-23T08:46:34.414421+00:00,2026-07-23T15:22:49.988436+00:00,23775.574,-6.988510062865e+09,3.420497924137e+10,1.107149919535e+11
MFIS_t_6_nomi_4_var_5,0,simulation_ok,0,2026-07-23T14:41:34.961853+00:00,2026-07-23T19:24:35.351609+00:00,16980.390,-7.211142692280e+09,4.545306735387e+10,1.477639237042e+11
MFIS_t_6_nomi_4_var_6,1,simulation_ok,0,2026-07-23T15:22:50.203905+00:00,2026-07-23T21:59:20.614064+00:00,23790.410,-8.467095941140e+09,3.073763063960e+10,1.714956603282e+11
MFIS_t_6_nomi_4_var_7,0,simulation_ok,0,2026-07-23T19:24:35.517385+00:00,2026-07-23T23:58:05.880500+00:00,16410.363,-8.978927962062e+09,3.683261749273e+10,2.549249968034e+11
MFIS_t_6_nomi_4_var_8,1,simulation_ok,0,2026-07-23T21:59:20.806069+00:00,2026-07-24T01:38:06.107376+00:00,13125.301,-9.001603917946e+09,3.843867015944e+10,8.799889687126e+10
MFIS_t_6_nomi_4_var_9,0,simulation_ok,0,2026-07-23T23:58:06.044285+00:00,2026-07-24T06:04:06.429738+00:00,21960.385,-7.087910533326e+09,3.272430739084e+10,2.173120587012e+11
MFIS_t_6_nomi_4_var_10,1,simulation_ok,0,2026-07-24T01:38:06.263865+00:00,2026-07-24T06:22:06.573549+00:00,17040.310,-7.957344623989e+09,3.157564429048e+10,1.783140143622e+11
