folder,gpu,status,return_code,started_at,ended_at,elapsed_seconds,alpha,beta,gamma
MFIS_t_7_nomi_2.5_var_2,1,simulation_ok,0,2026-07-21T17:42:33.842378+00:00,2026-07-21T22:45:49.024364+00:00,18195.182,-9.002170239259e+09,3.236876391255e+11,6.552841327289e+10
MFIS_t_7_nomi_2.5_var_1,0,simulation_ok,0,2026-07-21T17:42:33.841634+00:00,2026-07-22T00:07:34.251023+00:00,23100.409,-9.537364158428e+09,3.109953180698e+11,2.388150630661e+11
MFIS_t_7_nomi_2.5_var_4,0,simulation_ok,0,2026-07-22T00:07:34.444171+00:00,2026-07-22T05:11:04.627623+00:00,18210.183,-1.060623392950e+10,2.261025324704e+11,2.003343713455e+11
MFIS_t_7_nomi_2.5_var_3,1,simulation_ok,0,2026-07-21T22:45:49.199213+00:00,2026-07-22T05:15:34.825313+00:00,23385.626,-1.003194177957e+10,2.717595290071e+11,1.150230582570e+11
MFIS_t_7_nomi_2.5_var_6,1,simulation_ok,0,2026-07-22T05:15:35.016123+00:00,2026-07-22T11:18:35.237221+00:00,21780.221,-9.462205787523e+09,2.967313342297e+11,2.118895819985e+11
MFIS_t_7_nomi_2.5_var_5,0,simulation_ok,0,2026-07-22T05:11:04.821986+00:00,2026-07-22T12:04:35.454658+00:00,24810.633,-9.628574894186e+09,2.839556516574e+11,2.180979750213e+11
MFIS_t_7_nomi_2.5_var_7,1,simulation_ok,0,2026-07-22T11:18:35.426448+00:00,2026-07-22T17:10:35.842804+00:00,21120.416,-1.098973980115e+10,3.043381062055e+11,1.636970027073e+11
MFIS_t_7_nomi_2.5_var_8,0,simulation_ok,0,2026-07-22T12:04:35.656454+00:00,2026-07-22T17:27:06.037302+00:00,19350.381,-1.016059619259e+10,1.875865207320e+11,2.206312790221e+11
MFIS_t_7_nomi_2.5_var_10,0,simulation_ok,0,2026-07-22T17:27:06.217209+00:00,2026-07-22T22:56:36.422468+00:00,19770.205,-8.759349916867e+09,2.334681802729e+11,7.763230996259e+10
MFIS_t_7_nomi_2.5_var_9,1,simulation_ok,0,2026-07-22T17:10:36.026127+00:00,2026-07-22T23:00:51.552336+00:00,21015.526,-1.077009275881e+10,3.341161270945e+11,1.246947391803e+11
