folder,gpu,status,return_code,started_at,ended_at,elapsed_seconds,alpha,beta,gamma
MFIS_t_5_nomi_2.5_var_1,0,simulation_ok,0,2026-07-20T19:05:43.286941+08:00,2026-07-20T20:10:28.303682+08:00,3885.017,-6.191530949444e+09,6.614720704849e+12,1.556793984548e+11
MFIS_t_5_nomi_2.5_var_2,0,simulation_ok,0,2026-07-20T20:10:28.344712+08:00,2026-07-20T21:59:58.367014+08:00,6570.022,-5.131132239192e+09,7.890322070554e+12,7.078561545568e+10
MFIS_t_5_nomi_2.5_var_3,0,simulation_ok,0,2026-07-20T21:59:58.405303+08:00,2026-07-20T23:56:58.433285+08:00,7020.028,-5.209380571177e+09,8.828346341528e+12,1.876501964422e+11
MFIS_t_5_nomi_2.5_var_4,0,simulation_ok,0,2026-07-20T23:56:58.475933+08:00,2026-07-21T01:15:43.492062+08:00,4725.016,-4.848917461392e+09,7.668195323683e+12,1.267556117675e+11
MFIS_t_5_nomi_2.5_var_5,0,simulation_ok,0,2026-07-21T01:15:43.527219+08:00,2026-07-21T02:12:13.541868+08:00,3390.015,-5.608497535494e+09,8.944141884364e+12,2.441894300845e+11
MFIS_t_5_nomi_2.5_var_6,0,simulation_ok,0,2026-07-21T02:12:13.577266+08:00,2026-07-21T03:07:43.591162+08:00,3330.014,-6.111080948492e+09,6.978081792491e+12,1.727983077920e+11
MFIS_t_5_nomi_2.5_var_7,0,simulation_ok,0,2026-07-21T03:07:43.630540+08:00,2026-07-21T03:42:13.639523+08:00,2070.009,-5.729363368176e+09,6.158463365925e+12,1.230629775248e+11
MFIS_t_5_nomi_2.5_var_8,0,simulation_ok,0,2026-07-21T03:42:13.670134+08:00,2026-07-21T06:01:43.701729+08:00,8370.032,-4.987339385273e+09,8.274135830402e+12,9.966852697130e+10
MFIS_t_5_nomi_2.5_var_9,0,simulation_ok,0,2026-07-21T06:01:43.750225+08:00,2026-07-21T06:26:43.756426+08:00,1500.006,-6.038999827107e+09,8.447784898257e+12,7.623514739167e+10
MFIS_t_5_nomi_2.5_var_10,0,simulation_ok,0,2026-07-21T06:26:43.792052+08:00,2026-07-21T07:24:28.805567+08:00,3465.014,-5.386439195830e+09,5.644882331080e+12,2.069323871039e+11
