folder,gpu,status,return_code,started_at,ended_at,elapsed_seconds,alpha,beta,gamma
MFIS_t_7_nomi_17_var_1,0,simulation_ok,0,2026-07-17T18:03:21.402557+08:00,2026-07-17T19:07:36.419360+08:00,3855.017,-6.446279358993e+09,3.775499592537e+12,4.831128701304e+10
MFIS_t_7_nomi_17_var_2,0,simulation_ok,0,2026-07-17T19:07:36.463128+08:00,2026-07-17T20:16:36.482714+08:00,4140.020,-5.367316352022e+09,6.092726201357e+12,1.655380192288e+11
MFIS_t_7_nomi_17_var_3,0,simulation_ok,0,2026-07-17T20:16:36.524254+08:00,2026-07-17T21:11:36.537445+08:00,3300.013,-5.616682558780e+09,5.737679695108e+12,1.911699915959e+11
MFIS_t_7_nomi_17_var_4,0,simulation_ok,0,2026-07-17T21:11:36.577559+08:00,2026-07-17T23:01:21.605576+08:00,6585.028,-6.413292407315e+09,3.975450824325e+12,2.062296753055e+11
MFIS_t_7_nomi_17_var_5,0,simulation_ok,0,2026-07-17T23:01:21.655801+08:00,2026-07-18T00:04:51.669968+08:00,3810.014,-6.598551850890e+09,5.305803572977e+12,1.734645836688e+11
MFIS_t_7_nomi_17_var_6,0,simulation_ok,0,2026-07-18T00:04:51.712652+08:00,2026-07-18T01:13:51.732672+08:00,4140.020,-5.753916799718e+09,6.220468042971e+12,1.568835406335e+11
MFIS_t_7_nomi_17_var_7,0,simulation_ok,0,2026-07-18T01:14:06.794043+08:00,2026-07-18T01:54:21.805319+08:00,2415.011,-6.957162124921e+09,6.198297519739e+12,6.622844484616e+10
MFIS_t_7_nomi_17_var_8,0,simulation_ok,0,2026-07-18T01:54:21.843940+08:00,2026-07-18T02:55:51.861973+08:00,3690.018,-6.565182006750e+09,5.005079182370e+12,2.394411037116e+11
MFIS_t_7_nomi_17_var_9,0,simulation_ok,0,2026-07-18T02:55:51.897234+08:00,2026-07-18T03:49:06.912517+08:00,3195.015,-5.573011273878e+09,5.631205886458e+12,1.447780050241e+11
MFIS_t_7_nomi_17_var_10,0,simulation_ok,0,2026-07-18T03:49:06.953214+08:00,2026-07-18T04:56:36.973104+08:00,4050.020,-5.426753497044e+09,4.203462713222e+12,9.229852224219e+10
