folder,gpu,status,return_code,started_at,ended_at,elapsed_seconds,alpha,beta,gamma
MFIS_t_5_nomi_3.5_gvar10_4_1,0,simulation_ok,0,2026-07-27T16:00:54.150994+00:00,2026-07-27T16:54:39.185497+00:00,3225.035,-7.40E+09,1.40E+12,5.00E+05
MFIS_t_5_nomi_3.5_gvar10_4_2,1,simulation_ok,0,2026-07-27T16:00:54.151566+00:00,2026-07-27T17:10:24.286644+00:00,4170.135,-7.40E+09,1.40E+12,5.00E+14
MFIS_t_6_nomi_1_var_5_1,0,simulation_ok,0,2026-08-02T05:37:57.420378+00:00,2026-08-02T06:11:12.441298+00:00,1995.021,-6.53E+05,5.61E+08,9.11E+06
MFIS_t_6_nomi_1_var_5_2,1,simulation_ok,0,2026-08-02T05:37:57.420945+00:00,2026-08-02T06:11:42.522713+00:00,2025.102,-6.53E+06,5.61E+09,9.11E+07
MFIS_t_6_nomi_1_var_5_4,1,simulation_ok,0,2026-08-02T06:11:42.602721+00:00,2026-08-02T06:41:12.621582+00:00,1770.019,-6.53E+08,5.61E+11,9.11E+09
MFIS_t_6_nomi_1_var_5_3,0,simulation_ok,0,2026-08-02T06:11:12.521095+00:00,2026-08-02T06:42:12.699959+00:00,1860.179,-6.53E+07,5.61E+10,9.11E+08
MFIS_t_6_nomi_1_var_5_6,0,simulation_failed,6,2026-08-02T06:42:12.776352+00:00,2026-08-02T06:42:27.777673+00:00,15.001,-6.53E+11,5.61E+14,9.11E+12
MFIS_t_6_nomi_1_var_5_7,0,simulation_failed,0,2026-08-02T06:42:27.833253+00:00,2026-08-02T06:42:57.834623+00:00,30.001,-6.53E+12,5.61E+15,9.11E+13
MFIS_t_6_nomi_1_var_5_8,0,simulation_ok,0,2026-08-02T06:42:57.891978+00:00,2026-08-02T06:51:12.898307+00:00,495.006,-6.53E+13,5.61E+16,9.11E+14
MFIS_t_6_nomi_1_var_5_5,,simulation_failed,,,,,-6.53E+10,5.61E+13,9.11E+11
