folder,design,seed,Ec,Pr,Pc0,rp,transition_order,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent
MFIS_t_8_epr_maximin_1,maximin,20260807,5.152474213720e+07,2.155564767071e-02,1.433847478316e-02,1.503343137725e+00,second_order,-4.552812386150e+09,5.932804539702e+11,1.981115856134e+16,-43.089845173125006,295.52030264679996,13207339.040893333
MFIS_t_8_epr_maximin_2,maximin,20260807,5.020579003842e+07,8.795121627236e-01,5.838274638495e-01,1.506459043438e+00,second_order,-1.094974758049e+08,1.176276119994e+07,1.677875694952e+08,-98.63128155243875,-99.99215815920005,-99.88814162033654
MFIS_t_8_epr_maximin_3,maximin,20260807,5.322032959336e+07,8.337690028225e-01,4.964010843220e-01,1.679627682444e+00,second_order,-1.579277549664e+08,1.940823725149e+08,4.760843764233e+07,-98.02590306292001,-99.87061175165674,-99.96826104157178
MFIS_t_8_epr_maximin_4,maximin,20260807,5.847688870919e+07,2.389757301813e-02,1.435189056257e-02,1.665116725490e+00,second_order,-5.964333138714e+09,8.459192127177e+12,3.474919600383e+15,-25.445835766075,5539.461418118,2316513.066922
MFIS_t_8_epr_maximin_5,maximin,20260807,3.173172400111e+08,1.154427587452e-01,7.662626397338e-02,1.506569063386e+00,second_order,-5.273831648720e+09,3.319481849956e+10,2.720258022866e+13,-34.077104391,-77.87012100029334,18035.053485773333
MFIS_t_8_epr_maximin_6,maximin,20260807,5.137234415735e+07,1.371652489296e-01,8.653942101407e-02,1.585003080934e+00,second_order,-8.271362074041e+08,2.272630583460e+10,1.128760664268e+12,-89.66079740744874,-84.8491294436,652.507109512
MFIS_t_8_epr_maximin_7,maximin,20260807,5.079615183936e+08,8.959958344409e-01,5.950351255249e-01,1.505786458657e+00,second_order,-1.085826157181e+09,1.058732691868e+08,1.552874778499e+09,-86.4271730352375,-99.92941782054213,-98.96475014766733
MFIS_t_8_epr_maximin_8,maximin,20260807,5.692166240733e+07,1.536878320741e-01,8.880880117604e-02,1.730547311065e+00,second_order,-9.610000031982e+08,4.052674182644e+10,6.740249118544e+09,-87.9874999600225,-72.98217211570666,-95.50650058763733
MFIS_t_8_epr_maximin_9,maximin,20260807,1.914778253368e+08,7.523050372038e-01,4.716110829184e-01,1.595180996487e+00,second_order,-5.702627339639e+08,5.642811052528e+08,7.832957814006e+08,-92.87171582545125,-99.62381259649813,-99.4778028123996
MFIS_t_8_epr_maximin_10,maximin,20260807,3.046540670579e+08,1.173789631054e-01,7.265808443273e-02,1.615497628678e+00,second_order,-5.973840408943e+09,2.775469125933e+11,1.132522472553e+13,-25.326994888212507,85.03127506219998,7450.149817019999
