folder,design,seed,Ec,Pr,Pc0,rp,transition_order,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent
MFM_t_7_mxi_1,f_thickness,20260712,3.124999999999e+08,4.600000000000e-01,2.850591807647e-01,1.613700000000e+00,second_order,-1.560037416668e+09,4.669231667990e+09,1.277573684078e+10,-91.5635034704327,-99.97816961523344,-99.99997682085656
MFM_t_7_mxi_2,f_thickness,20260712,6.260934841753e+07,5.001838327902e-02,3.344816324042e-02,1.495399999082e+00,second_order,-2.340000000000e+09,3.750000000019e+08,3.737000000000e+14,-87.34555872297469,-99.99824673632205,-99.32199246036943
MFM_t_7_mxi_3,f_thickness,20260712,6.248235887764e+07,4.999285164556e-02,2.886423279380e-02,1.732000015476e+00,second_order,-3.247000000000e+09,1.299000000000e+12,6.860000000028e+10,-82.44061075790549,-93.92669461955356,-99.9998755383537
MFM_t_7_mxi_4,f_thickness,20260712,6.250000000001e+07,1.500000000000e-01,1.003076100040e-01,1.495400000000e+00,second_order,-7.789239951846e+08,1.388017860403e+07,1.537998402303e+12,-95.78767181353442,-99.99993510503202,-99.99720959456062
MFM_t_7_mxi_5,f_thickness,20260712,6.250000000003e+07,1.500000000000e-01,8.660508083142e-02,1.732000000000e+00,second_order,-1.082484120539e+09,4.810405431800e+10,2.822684123276e+08,-94.14605481338754,-99.77509575680462,-99.99999948787767
MFM_t_7_mxi_6,f_thickness,20260712,5.625000000000e+08,2.000000000000e-02,1.337434800054e-02,1.495400000000e+00,second_order,-5.257736967496e+10,5.270130313718e+10,3.284768072106e+17,184.33215258642406,-99.75360191847608,495.9586617141194
MFM_t_7_mxi_7,f_thickness,20260712,5.625000000001e+08,2.000000000000e-02,1.154734411086e-02,1.732000000000e+00,second_order,-7.306767813636e+10,1.826450812386e+14,6.028525564065e+13,295.14130009621937,753.9332983821907,-99.89062387515943
MFM_t_7_mxi_8,f_thickness,20260712,5.625000000000e+08,1.500000000000e-01,1.003076100040e-01,1.495400000000e+00,second_order,-7.010315956661e+09,1.249216074363e+08,1.384198562073e+13,-62.08904632181193,-99.99941594528823,-99.97488635104546
MFM_t_7_mxi_9,f_thickness,20260712,5.625000000000e+08,9.000000000000e-01,5.196304849885e-01,1.732000000000e+00,second_order,-1.623726180808e+09,2.004335596583e+09,3.266995513051e+05,-91.21908222008402,-99.99062898986686,-99.99999999940727
MFM_t_7_mxi_10,f_thickness,20260712,6.249999999998e+07,8.499999999999e-02,5.267397905434e-02,1.613700000000e+00,second_order,-1.688511086276e+09,1.480103671518e+11,1.186070441886e+13,-90.86873316799749,-99.30799679816407,-99.97848100877357
MFM_t_7_mxi_11,f_thickness,20260712,5.625000000002e+08,8.500000000001e-02,5.267397905435e-02,1.613700000000e+00,second_order,-1.519659977649e+10,1.332093304366e+12,1.067463397697e+14,-17.818598511945048,-93.77197118347752,-99.80632907896221
MFM_t_7_mxi_12,f_thickness,20260712,3.130000000000e+08,2.000000000000e-02,1.239387742455e-02,1.613700000000e+00,second_order,-3.593826996030e+10,5.690143857116e+13,8.236059082399e+16,94.34988325234997,166.03526792099183,49.42761987448267
MFM_t_7_mxi_13,f_thickness,20260712,3.130000000000e+08,1.500000000000e-01,9.295408068414e-02,1.613700000000e+00,second_order,-4.791769328040e+09,1.348774840205e+11,3.470668518674e+12,-74.08668223302001,-99.36939788344667,-99.99370313239706
