folder,design,seed,Ec,Pr,Pc0,rp,transition_order,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent
MFM_t_8_scr_1,screening,20260712,3.124999999999e+08,4.600000000000e-01,2.850591807647e-01,1.613700000000e+00,second_order,-1.560037416668e+09,4.669231667990e+09,1.277573684078e+10,-80.49953229165,-99.68578521749731,109.43830886524593
MFM_t_8_scr_2,screening,20260712,6.249999999999e+07,2.000000000000e-02,1.337434800053e-02,1.495400000000e+00,second_order,-5.841929963884e+09,5.855700348575e+09,3.649742302341e+16,-26.975875451450005,-99.60594210305686,598318310.219836
MFM_t_8_scr_3,screening,20260712,6.250000000001e+07,2.000000000000e-02,1.154734411086e-02,1.732000000000e+00,second_order,-8.118630904040e+09,2.029389791540e+13,6.698361737853e+12,1.482886300499997,1265.6728072274564,109709.20881726229
MFM_t_8_scr_4,screening,20260712,6.250000000000e+07,9.000000000000e-01,6.018456600241e-01,1.495400000000e+00,second_order,-1.298206658641e+08,6.426008612977e+04,1.977878603785e+08,-98.37724167669874,-99.9999956756335,-96.75757605936886
MFM_t_8_scr_5,screening,20260712,6.250000000001e+07,9.000000000001e-01,5.196304849885e-01,1.732000000000e+00,second_order,-1.804140200898e+08,2.227039551759e+08,3.629995014502e+04,-97.7448247488775,-99.98501319278762,-99.99940491885008
MFM_t_8_scr_6,screening,20260712,5.625000000000e+08,2.000000000000e-02,1.337434800054e-02,1.495400000000e+00,second_order,-5.257736967496e+10,5.270130313718e+10,3.284768072106e+17,557.217120937,-96.45347892751144,5384865591.97705
MFM_t_8_scr_7,screening,20260712,5.625000000001e+08,2.000000000000e-02,1.154734411086e-02,1.732000000000e+00,second_order,-7.306767813636e+10,1.826450812386e+14,6.028525564068e+13,813.3459767045,12191.055265047105,988182.8793554098
MFM_t_8_scr_8,screening,20260712,5.625000000001e+08,9.000000000001e-01,6.018456600241e-01,1.495400000000e+00,second_order,-1.168385992777e+09,5.783407751679e+05,1.780090743406e+09,-85.3951750902875,-99.99996108070154,-70.81818453432787
MFM_t_8_scr_9,screening,20260712,5.625000000000e+08,9.000000000000e-01,5.196304849885e-01,1.732000000000e+00,second_order,-1.623726180808e+09,2.004335596583e+09,3.266995513051e+05,-79.70342273989999,-99.86511873508863,-99.99464426965073
MFM_t_8_scr_10,screening,20260712,6.250000000001e+07,4.600000000000e-01,2.850591807647e-01,1.613700000000e+00,second_order,-3.120074833337e+08,9.338463335980e+08,2.555147368155e+09,-96.09990645832876,-99.93715704349945,-58.11233822696721
MFM_t_8_scr_11,screening,20260712,5.625000000000e+08,4.600000000000e-01,2.850591807647e-01,1.613700000000e+00,second_order,-2.808067350003e+09,8.404617002382e+09,2.299632631340e+10,-64.8991581249625,-99.43441339149516,276.9889559573771
MFM_t_8_scr_12,screening,20260712,3.125000000000e+08,2.000000000000e-02,1.239387742455e-02,1.613700000000e+00,second_order,-3.588086058337e+10,5.681054170443e+13,8.222902438498e+16,348.510757292125,3723.0512587099597,1348016693.1963933
MFM_t_8_scr_13,screening,20260712,3.125000000000e+08,9.000000000000e-01,5.577244841048e-01,1.613700000000e+00,second_order,-7.973524574082e+08,6.234352999115e+08,4.456178394756e+08,-90.0330942823975,-99.95804607672197,-92.69478951679343
MFM_t_8_scr_14,screening,20260712,3.124999999999e+08,4.600000000000e-01,3.076100040123e-01,1.495400000000e+00,second_order,-1.269984774757e+09,2.406386269654e+06,2.835260878996e+10,-84.1251903155375,-99.99983806283515,364.7968654091803
MFM_t_8_scr_15,screening,20260712,3.125000000000e+08,4.600000000000e-01,2.655889145497e-01,1.732000000000e+00,second_order,-1.764919761748e+09,8.339729561685e+09,5.203546282301e+06,-77.93850297815,-99.4387799756605,-99.91469596258523
