folder,gpu,status,return_code,started_at,ended_at,elapsed_seconds,Ec,Pr,rp,alpha,beta,gamma
MFIS_t_5_epr_maximin_1,0,simulation_ok,0,2026-08-08T01:15:45.978704+08:00,2026-08-08T01:32:00.986935+08:00,975.008,5.020579003842e+07,8.795121627236e-01,1.506459043438e+00,-1.094974758049e+08,1.176276119994e+07,1.677875694952e+08
MFIS_t_5_epr_maximin_2,0,simulation_ok,0,2026-08-08T01:32:01.055860+08:00,2026-08-08T01:48:31.063530+08:00,990.008,5.322032959336e+07,8.337690028225e-01,1.679627682444e+00,-1.579277549664e+08,1.940823725149e+08,4.760843764233e+07
MFIS_t_5_epr_maximin_3,0,simulation_ok,0,2026-08-08T01:48:31.105394+08:00,2026-08-08T05:07:31.194653+08:00,11940.089,3.296494235167e+08,2.407620357234e-01,1.498320667231e+00,-2.577552559288e+09,1.021815697625e+09,7.494784806341e+11
MFIS_t_5_epr_maximin_4,0,simulation_ok,0,2026-08-08T05:07:31.306041+08:00,2026-08-08T05:26:16.314578+08:00,1125.009,2.089090107921e+08,8.629780770787e-01,1.589472898892e+00,-5.380635366373e+08,3.873486902936e+08,4.500214023735e+08
MFIS_t_5_epr_maximin_5,0,simulation_ok,0,2026-08-08T05:26:16.357813+08:00,2026-08-08T05:44:46.366114+08:00,1110.008,5.046095320975e+07,2.078008374690e-01,1.605840225449e+00,-5.519709443174e+08,7.707492339825e+09,1.175321811641e+11
MFIS_t_5_epr_maximin_6,0,simulation_ok,0,2026-08-08T05:44:46.410418+08:00,2026-08-08T06:03:46.418938+08:00,1140.009,5.093567686808e+07,1.351271983813e-01,1.508725498496e+00,-7.267129796571e+08,3.946220275967e+09,1.963555013031e+12
MFIS_t_5_epr_maximin_7,0,simulation_ok,0,2026-08-08T06:03:46.469429+08:00,2026-08-08T08:33:46.541786+08:00,9000.072,9.452055061763e+08,8.389763592454e-01,1.499417446709e+00,-2.126397227150e+09,9.460657373647e+07,4.157452578743e+09
MFIS_t_5_epr_maximin_8,0,simulation_ok,0,2026-08-08T08:33:46.630218+08:00,2026-08-08T08:53:01.639674+08:00,1155.009,2.085439301024e+08,8.845794469932e-01,1.725669914261e+00,-6.091054915886e+08,7.654272106540e+08,1.661569886910e+07
MFIS_t_5_epr_maximin_9,0,simulation_ok,0,2026-08-08T08:53:01.685129+08:00,2026-08-08T09:12:31.695920+08:00,1170.011,5.000522209646e+07,1.515502836523e-01,1.701555583526e+00,-8.339798484465e+08,3.332472729069e+10,1.300357152112e+11
MFIS_t_5_epr_maximin_10,0,simulation_ok,0,2026-08-08T09:12:31.764204+08:00,2026-08-08T09:40:16.776485+08:00,1665.012,1.598968411854e+08,3.186197197143e-01,1.654508255678e+00,-1.209336680632e+09,9.246615201476e+09,2.625981427303e+10
MFIS_t_8_epr_maximin_1,0,simulation_ok,0,2026-08-08T11:25:57.653922+08:00,2026-08-09T03:23:42.949217+08:00,57465.295,5.152474213720e+07,2.155564767071e-02,1.503343137725e+00,-4.552812386150e+09,5.932804539702e+11,1.981115856134e+16
MFIS_t_8_epr_maximin_2,0,simulation_ok,0,2026-08-09T03:23:43.089823+08:00,2026-08-09T03:42:28.095168+08:00,1125.005,5.020579003842e+07,8.795121627236e-01,1.506459043438e+00,-1.094974758049e+08,1.176276119994e+07,1.677875694952e+08
MFIS_t_8_epr_maximin_3,0,simulation_ok,0,2026-08-09T03:42:28.131333+08:00,2026-08-09T04:01:28.136730+08:00,1140.005,5.322032959336e+07,8.337690028225e-01,1.679627682444e+00,-1.579277549664e+08,1.940823725149e+08,4.760843764233e+07
MFIS_t_8_epr_maximin_4,0,simulation_ok,0,2026-08-09T04:01:28.166608+08:00,2026-08-09T05:25:28.185799+08:00,5040.019,5.847688870919e+07,2.389757301813e-02,1.665116725490e+00,-5.964333138714e+09,8.459192127177e+12,3.474919600383e+15
MFIS_t_8_epr_maximin_5,0,simulation_ok,0,2026-08-09T05:25:28.231554+08:00,2026-08-09T16:28:58.407055+08:00,39810.176,3.173172400111e+08,1.154427587452e-01,1.506569063386e+00,-5.273831648720e+09,3.319481849956e+10,2.720258022866e+13
MFIS_t_8_epr_maximin_6,0,simulation_failed,143,2026-08-09T16:28:58.535350+08:00,2026-08-09T18:59:58.579121+08:00,9060.044,5.137234415735e+07,1.371652489296e-01,1.585003080934e+00,-8.271362074041e+08,2.272630583460e+10,1.128760664268e+12
