folder,gpu,status,return_code,started_at,ended_at,elapsed_seconds,Ec,Pr,rp,alpha,beta,gamma
MFIS_t_8_epr_maximin_1,0,simulation_ok,0,2026-08-08T09:08:31.141492+00:00,2026-08-08T11:57:16.247624+00:00,10125.106,5.003384217096e+08,8.688894558323e-01,1.495790504522e+00,-1.077495044685e+09,4.926859316790e+06,1.883889171905e+09
MFIS_t_8_epr_maximin_2,1,simulation_ok,0,2026-08-08T09:08:31.142858+00:00,2026-08-09T01:57:02.398157+00:00,60511.255,2.366299040382e+09,7.405691674674e-01,1.501997043096e+00,-6.067139749040e+09,5.600991339528e+08,1.914947048248e+10
MFIS_t_8_epr_maximin_3,0,simulation_ok,0,2026-08-08T11:57:16.390454+00:00,2026-08-09T06:27:02.893409+00:00,66586.503,5.110212618693e+08,2.394521164754e-01,1.588647457531e+00,-4.737907138432e+09,4.401122577627e+10,6.735744169907e+11
MFIS_t_8_epr_maximin_4,1,simulation_ok,0,2026-08-09T01:57:02.723620+00:00,2026-08-09T12:36:48.545215+00:00,38385.822,1.081822648761e+09,8.400509171838e-01,1.501061267702e+00,-2.439990791952e+09,1.509992100182e+08,4.685682557605e+09
MFIS_t_8_epr_maximin_6,1,simulation_ok,0,2026-08-09T12:36:48.779446+00:00,2026-08-09T16:00:49.142852+00:00,12240.363,6.056894582653e+08,8.598617882392e-01,1.639981801346e+00,-1.669992740825e+09,1.644086664129e+09,8.312660074011e+08
MFIS_t_8_epr_maximin_5,0,simulation_ok,0,2026-08-09T06:27:03.227465+00:00,2026-08-09T18:56:49.596078+00:00,44986.369,7.154128982153e+08,2.194106982335e-01,1.505890660589e+00,-6.246494657099e+09,1.025395655266e+10,2.482289811304e+12
MFIS_t_8_epr_maximin_8,0,simulation_ok,0,2026-08-09T18:56:49.853159+00:00,2026-08-09T22:12:04.976028+00:00,11715.123,5.661632518498e+08,8.647236715618e-01,1.730604808353e+00,-1.698913768869e+09,2.263493537954e+09,1.143428667692e+07
MFIS_t_8_epr_maximin_7,1,simulation_ok,0,2026-08-09T16:00:49.286520+00:00,2026-08-09T22:44:35.143857+00:00,24225.857,7.558549647025e+08,7.079012944535e-01,1.564648700708e+00,-2.286131743784e+09,1.932934241932e+09,5.246346949820e+09
MFIS_t_8_epr_maximin_10,1,simulation_ok,0,2026-08-09T22:44:35.333940+00:00,2026-08-10T05:51:05.602749+00:00,25590.269,8.982293158223e+08,8.735101888909e-01,1.726180119472e+00,-2.657945446864e+09,3.429957310217e+09,7.011212033691e+07
MFIS_t_8_epr_maximin_9,0,simulation_ok,0,2026-08-09T22:12:05.122544+00:00,2026-08-10T06:23:05.764673+00:00,29460.642,2.391891706816e+09,8.793359542981e-01,1.577201968933e+00,-5.938507181043e+09,3.704821978052e+09,5.141138374283e+09
