plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00000217,217,0.08338749360760202,0.0538852219725499,0.08735556222012685,0.007990533004055562,-4.9958559547867125,-4.99585664869187,-4.995855067959406,3.843288438360838e-07,64,64,59,65536,0.0
plt00000403,403,0.06420664993644447,0.04149059976224264,0.0672595923543273,0.006152599724779149,-3.9932453068093507,-3.993245334628353,-3.993245272748343,1.6402859732420363e-08,64,64,59,65536,1.0
plt00000593,593,0.04514630266852235,0.02917367602894657,0.04729283272386314,0.004326159981612833,-2.990650650708166,-2.990650651855185,-2.9906506493740186,7.272261897682746e-10,64,64,59,65536,1.0
plt00000788,788,0.02628286915035358,0.016984043776970426,0.027532496615426873,0.002518572370439286,-1.9880826699735035,-1.9880826700196954,-1.9880826699223857,3.118432165630859e-11,64,64,59,65536,1.0
plt00000990,990,0.007986642083647261,0.005160977211620824,0.008366362430006765,0.0007653270661548745,-0.985591827184751,-0.985591827186493,-0.9855918271829273,1.2254777375040826e-12,64,64,59,65536,1.0
plt00001175,1175,-5.599125195631962e-05,-5.8653649157206744e-05,-3.6181853841372224e-05,5.365338965510894e-06,0.015503116438946907,0.01550311643885313,0.01550311643904207,6.369306430264325e-14,64,64,59,65536,1.0
plt00001365,1365,-0.008623816800881059,-0.009033864461914433,-0.005572746938927846,0.000826377292546014,1.0166695041927198,1.0166695041927116,1.0166695041927294,4.262898612829093e-15,64,64,59,65536,1.0
plt00001561,1561,-0.027290342831403382,-0.028587938944364694,-0.017635130848632812,0.002615098390185195,2.019210693594824,2.01921069359482,2.0192106935948306,2.2023310314175786e-15,64,64,59,65536,1.0
plt00001752,1752,-0.046479175104682885,-0.04868917290345309,-0.03003506547913516,0.004453859422618673,3.0218229105347145,3.0218229105346732,3.021822910534758,1.8054356571964866e-14,64,64,59,65536,1.0
plt00001938,1938,-0.06583393789306538,-0.06896426668443886,-0.0425422906471295,0.006308501540149072,4.024457568781606,4.024457568781387,4.02445756878177,8.844255701407002e-14,64,64,59,65536,1.0
plt00002121,2121,-0.08529023054337535,-0.08934576522102201,-0.05511521114492604,0.008172847393091452,5.027105854025573,5.027105854025551,5.0271058540255975,1.1054945072275866e-14,64,64,59,65536,1.0
plt00002307,2307,-0.06583450187159351,-0.06896472095946883,-0.04254254479553595,0.006308586886368961,4.024457890959388,4.024457890959219,4.024457890959572,7.805215293597375e-14,64,64,59,65536,-1.0
plt00002498,2498,-0.04647957806441107,-0.04868949707501462,-0.03003524677109782,0.0044539204915931465,3.0218231410325194,3.0218231410323164,3.021823141032691,8.989725445426999e-14,64,64,59,65536,-1.0
plt00002695,2695,-0.02729061058228273,-0.028588153822451275,-0.01763525092995518,0.002615139083199834,2.01921084713552,2.0192108471355175,2.0192108471355223,9.61481343191782e-16,64,64,59,65536,-1.0
plt00002898,2898,-0.008623946380459404,-0.009033967098465684,-0.005572804071905675,0.0008263972840367092,1.016669579442674,1.0166695794426737,1.016669579442675,3.8459253727671276e-16,64,64,59,65536,-1.0
plt00003083,3083,-5.599211037152738e-05,-5.8654098194658606e-05,-3.618208123379395e-05,5.3655210987354726e-06,0.015503116944715088,0.015503116944714939,0.015503116944715232,7.324265164105265e-17,64,64,59,65536,-1.0
plt00003271,3271,0.007986521943424712,0.005160924606458334,0.00836626776795939,0.0007653084196612553,-0.985591757087082,-0.9855917570870837,-0.98559175708708,8.953055583732112e-16,64,64,59,65536,-1.0
plt00003466,3466,0.026282606006747436,0.016983926329601197,0.027532285956554922,0.0025185322121870648,-1.988082518534482,-1.9880825185345112,-1.9880825185344504,1.448886242291597e-14,64,64,59,65536,-1.0
plt00003655,3655,0.045145901245207454,0.029173496736125105,0.0472925056244488,0.004326098920480558,-2.9906504203382864,-2.990650420338316,-2.990650420338252,1.3728885226609751e-14,64,64,59,65536,-1.0
plt00003840,3840,0.0642061156115551,0.041490374339551175,0.06725903927263857,0.006152518593254708,-3.993245000656697,-3.9932450006567044,-3.9932450006566884,4.125042574889392e-15,64,64,59,65536,-1.0
plt00004022,4022,0.08338733561130388,0.05388553039799428,0.08735237981969694,0.007990508936733332,-4.995855864351597,-4.995855864351611,-4.995855864351585,5.592042499930296e-15,64,64,59,65536,-1.0
