index,plotfile,step,time,top_phi_mean,top_phi_min,top_phi_max,zmax,dz,phi_field
0,plt00000217,217,4.3400000000000226e-11,-4.9958559547867125,-4.99585664869187,-4.995855067959406,2.95e-08,5e-10,"('boxlib', 'Phi')"
1,plt00000403,403,8.06000000000001e-11,-3.993245306809351,-3.993245334628353,-3.993245272748343,2.95e-08,5e-10,"('boxlib', 'Phi')"
2,plt00000593,593,1.1859999999999962e-10,-2.990650650708166,-2.990650651855185,-2.9906506493740186,2.95e-08,5e-10,"('boxlib', 'Phi')"
3,plt00000788,788,1.576000000000015e-10,-1.9880826699735032,-1.9880826700196954,-1.9880826699223857,2.95e-08,5e-10,"('boxlib', 'Phi')"
4,plt00000990,990,1.9800000000000345e-10,-0.985591827184751,-0.985591827186493,-0.9855918271829273,2.95e-08,5e-10,"('boxlib', 'Phi')"
5,plt00001175,1175,2.3500000000000524e-10,0.015503116438946907,0.01550311643885313,0.01550311643904207,2.95e-08,5e-10,"('boxlib', 'Phi')"
6,plt00001365,1365,2.7300000000000707e-10,1.0166695041927198,1.0166695041927116,1.0166695041927294,2.95e-08,5e-10,"('boxlib', 'Phi')"
7,plt00001561,1561,3.1220000000000896e-10,2.019210693594824,2.01921069359482,2.0192106935948306,2.95e-08,5e-10,"('boxlib', 'Phi')"
8,plt00001752,1752,3.504000000000108e-10,3.0218229105347145,3.0218229105346732,3.021822910534758,2.95e-08,5e-10,"('boxlib', 'Phi')"
9,plt00001938,1938,3.876000000000126e-10,4.024457568781607,4.024457568781387,4.02445756878177,2.95e-08,5e-10,"('boxlib', 'Phi')"
10,plt00002121,2121,4.2420000000001437e-10,5.027105854025573,5.027105854025551,5.0271058540255975,2.95e-08,5e-10,"('boxlib', 'Phi')"
11,plt00002307,2307,4.6140000000001616e-10,4.024457890959388,4.024457890959219,4.024457890959572,2.95e-08,5e-10,"('boxlib', 'Phi')"
12,plt00002498,2498,4.996000000000092e-10,3.0218231410325203,3.0218231410323164,3.021823141032691,2.95e-08,5e-10,"('boxlib', 'Phi')"
13,plt00002695,2695,5.390000000000009e-10,2.01921084713552,2.0192108471355175,2.0192108471355223,2.95e-08,5e-10,"('boxlib', 'Phi')"
14,plt00002898,2898,5.795999999999924e-10,1.016669579442674,1.0166695794426737,1.016669579442675,2.95e-08,5e-10,"('boxlib', 'Phi')"
15,plt00003083,3083,6.165999999999846e-10,0.015503116944715088,0.015503116944714939,0.015503116944715232,2.95e-08,5e-10,"('boxlib', 'Phi')"
16,plt00003271,3271,6.541999999999767e-10,-0.985591757087082,-0.9855917570870837,-0.98559175708708,2.95e-08,5e-10,"('boxlib', 'Phi')"
17,plt00003466,3466,6.931999999999685e-10,-1.988082518534482,-1.9880825185345112,-1.9880825185344504,2.95e-08,5e-10,"('boxlib', 'Phi')"
18,plt00003655,3655,7.309999999999606e-10,-2.9906504203382864,-2.990650420338316,-2.990650420338252,2.95e-08,5e-10,"('boxlib', 'Phi')"
19,plt00003840,3840,7.679999999999528e-10,-3.993245000656697,-3.9932450006567044,-3.9932450006566884,2.95e-08,5e-10,"('boxlib', 'Phi')"
20,plt00004022,4022,8.043999999999451e-10,-4.995855864351597,-4.995855864351611,-4.995855864351585,2.95e-08,5e-10,"('boxlib', 'Phi')"
